Order of operation,Sf category,Tag category,Tag,Override view value,Conditional tag category,Conditional tag,Override value
2290,entity,Entity_chimera_segment,_Entity_chimera_segment.Comp_index_ID_end,H,Entity,_Entity.Type,non-polymer
2300,entity,Entity_chimera_segment,_Entity_chimera_segment.Seq_ID_begin,H,Entity,_Entity.Type,non-polymer
2310,entity,Entity_chimera_segment,_Entity_chimera_segment.Seq_ID_end,H,Entity,_Entity.Type,non-polymer
2320,entity,Entity_chimera_segment,_Entity_chimera_segment.Details,H,Entity,_Entity.Type,non-polymer
2330,entity,Entity_chimera_segment,_Entity_chimera_segment.Sf_ID,H,Entity,_Entity.Type,non-polymer
2340,entity,Entity_chimera_segment,_Entity_chimera_segment.Entry_ID,H,Entity,_Entity.Type,non-polymer
2350,entity,Entity_chimera_segment,_Entity_chimera_segment.Entity_ID,H,Entity,_Entity.Type,non-polymer
2360,natural_source,Entity_natural_src,_Entity_natural_src.NCBI_taxonomy_ID,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2370,natural_source,Entity_natural_src,_Entity_natural_src.Organism_name_scientific,Y,Entity_natural_src,_Entity_natural_src.Type,organism
2380,natural_source,Entity_natural_src,_Entity_natural_src.Organism_name_common,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2390,natural_source,Entity_natural_src,_Entity_natural_src.Organism_acronym,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2400,natural_source,Entity_natural_src,_Entity_natural_src.ICTVdb_decimal_code,N,Entity_natural_src,_Entity_natural_src.Type,virus
2410,natural_source,Entity_natural_src,_Entity_natural_src.Superkingdom,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2420,natural_source,Entity_natural_src,_Entity_natural_src.Kingdom,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2430,natural_source,Entity_natural_src,_Entity_natural_src.Genus,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2440,natural_source,Entity_natural_src,_Entity_natural_src.Species,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2450,natural_source,Entity_natural_src,_Entity_natural_src.Strain,N,Entity_natural_src,_Entity_natural_src.Type,organism
2460,natural_source,Entity_natural_src,_Entity_natural_src.Variant,N,Entity_natural_src,_Entity_natural_src.Type,organism
2470,natural_source,Entity_natural_src,_Entity_natural_src.Subvariant,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2480,natural_source,Entity_natural_src,_Entity_natural_src.Organ,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2490,natural_source,Entity_natural_src,_Entity_natural_src.Tissue,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2500,natural_source,Entity_natural_src,_Entity_natural_src.Tissue_fraction,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2510,natural_source,Entity_natural_src,_Entity_natural_src.Cell_line,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2520,natural_source,Entity_natural_src,_Entity_natural_src.Cell_type,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2530,natural_source,Entity_natural_src,_Entity_natural_src.ATCC_number,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2540,natural_source,Entity_natural_src,_Entity_natural_src.Organelle,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2550,natural_source,Entity_natural_src,_Entity_natural_src.Cellular_location,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2560,natural_source,Entity_natural_src,_Entity_natural_src.Fragment,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2570,natural_source,Entity_natural_src,_Entity_natural_src.Fraction,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2580,natural_source,Entity_natural_src,_Entity_natural_src.Secretion,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2590,natural_source,Entity_natural_src,_Entity_natural_src.Gene_mnemonic,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2600,natural_source,Entity_natural_src,_Entity_natural_src.Dev_stage,H,Entity_natural_src,_Entity_natural_src.Type,no natural source
2610,experimental_source,Entity_experimental_src,_Entity_experimental_src.Host_org_scientific_name,Y,Entity_experimental_src,_Entity_experimental_src.Production_method,recombinant technology
2620,experimental_source,Entity_experimental_src,_Entity_experimental_src.Vector_type,Y,Entity_experimental_src,_Entity_experimental_src.Production_method,recombinant technology
2630,experimental_source,Entity_experimental_src,_Entity_experimental_src.Vector_name,Y,Entity_experimental_src,_Entity_experimental_src.Production_method,recombinant technology
90010,entry_interview,Entry_interview,_Entry_interview.Structural_genomics,Y,Entry_interview,_Entry_interview.PDB_deposition,no
90020,entry_interview,Entry_interview,_Entry_interview.Ligands,Y,Entry_interview,_Entry_interview.PDB_deposition,no
90030,entry_interview,Entry_interview,_Entry_interview.Non_standard_residues,Y,Entry_interview,_Entry_interview.PDB_deposition,no
90040,entry_interview,Entry_interview,_Entry_interview.Assigned_chem_shifts,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90050,entry_interview,Entry_interview,_Entry_interview.Coupling_constants,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90052,entry_interview,Entry_interview,_Entry_interview.Chem_shift_anisotropy,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90060,entry_interview,Entry_interview,_Entry_interview.Heteronucl_NOEs,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90070,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T1_relaxation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90080,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T2_relaxation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90090,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T1rho_relaxation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90100,entry_interview,Entry_interview,_Entry_interview.Order_parameters,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90102,entry_interview,Entry_interview,_Entry_interview.Movie,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90110,entry_interview,Entry_interview,_Entry_interview.Residual_dipolar_couplings,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90120,entry_interview,Entry_interview,_Entry_interview.H_exchange_rate,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90130,entry_interview,Entry_interview,_Entry_interview.H_exchange_protection_factors,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90140,entry_interview,Entry_interview,_Entry_interview.Spectral_peak_lists,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90150,entry_interview,Entry_interview,_Entry_interview.Dipole_dipole_couplings,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90160,entry_interview,Entry_interview,_Entry_interview.Quadrupolar_couplings,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90170,entry_interview,Entry_interview,_Entry_interview.Homonucl_NOEs,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90180,entry_interview,Entry_interview,_Entry_interview.Dipole_dipole_relaxation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90190,entry_interview,Entry_interview,_Entry_interview.DD_cross_correlation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90200,entry_interview,Entry_interview,_Entry_interview.Dipole_CSA_cross_correlation,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90210,entry_interview,Entry_interview,_Entry_interview.PKa_value_data_set,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90220,entry_interview,Entry_interview,_Entry_interview.D_H_fractionation_factors,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90230,entry_interview,Entry_interview,_Entry_interview.Theoretical_chem_shifts,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90232,entry_interview,Entry_interview,_Entry_interview.Binding_constants,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90240,entry_interview,Entry_interview,_Entry_interview.Spectral_density_values,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90250,entry_interview,Entry_interview,_Entry_interview.Timedomain_data,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90260,entry_interview,Entry_interview,_Entry_interview.Chem_shift_perturbation,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90261,entry_interview,Entry_interview,_Entry_interview.Secondary_structure_orientations,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90262,entry_interview,Entry_interview,_Entry_interview.Auto_relaxation,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90263,entry_interview,Entry_interview,_Entry_interview.Tensor,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90264,entry_interview,Entry_interview,_Entry_interview.Other_kind_of_data,Y,Entry_interview,_Entry_interview.PDB_deposition,yes
90266,entry_interview,Entry_interview,_Entry_interview.Assigned_chem_shifts,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90268,entry_interview,Entry_interview,_Entry_interview.Coupling_constants,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90270,entry_interview,Entry_interview,_Entry_interview.Chem_shift_anisotropy,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90271,entry_interview,Entry_interview,_Entry_interview.Auto_relaxation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90272,entry_interview,Entry_interview,_Entry_interview.Tensor,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90273,entry_interview,Entry_interview,_Entry_interview.Heteronucl_NOEs,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90274,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T1_relaxation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90276,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T2_relaxation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90278,entry_interview,Entry_interview,_Entry_interview.Heteronucl_T1rho_relaxation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90280,entry_interview,Entry_interview,_Entry_interview.Order_parameters,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90289,entry_interview,Entry_interview,_Entry_interview.Movie,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90290,entry_interview,Entry_interview,_Entry_interview.Residual_dipolar_couplings,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90291,entry_interview,Entry_interview,_Entry_interview.H_exchange_rate,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90292,entry_interview,Entry_interview,_Entry_interview.H_exchange_protection_factors,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90293,entry_interview,Entry_interview,_Entry_interview.Spectral_peak_lists,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90294,entry_interview,Entry_interview,_Entry_interview.Dipole_dipole_couplings,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90295,entry_interview,Entry_interview,_Entry_interview.Quadrupolar_couplings,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90296,entry_interview,Entry_interview,_Entry_interview.Homonucl_NOEs,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90297,entry_interview,Entry_interview,_Entry_interview.Dipole_dipole_relaxation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90298,entry_interview,Entry_interview,_Entry_interview.DD_cross_correlation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90299,entry_interview,Entry_interview,_Entry_interview.Dipole_CSA_cross_correlation,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90300,entry_interview,Entry_interview,_Entry_interview.PKa_value_data_set,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90301,entry_interview,Entry_interview,_Entry_interview.D_H_fractionation_factors,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90302,entry_interview,Entry_interview,_Entry_interview.Theoretical_chem_shifts,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90303,entry_interview,Entry_interview,_Entry_interview.Binding_constants,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90304,entry_interview,Entry_interview,_Entry_interview.Spectral_density_values,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90305,entry_interview,Entry_interview,_Entry_interview.Timedomain_data,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90307,entry_interview,Entry_interview,_Entry_interview.Secondary_structure_orientations,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90308,entry_interview,Entry_interview,_Entry_interview.Other_kind_of_data,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90310,entry_interview,Entry_interview,_Entry_interview.View_mode,H,Entry_interview,_Entry_interview.View_mode,BMRB.*
90312,entry_interview,Entry_interview,_Entry_interview.View_mode,H,Entry_interview,_Entry_interview.View_mode,PDB.*
90314,entry_interview,*,*,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90320,entry_interview,*,*,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90322,chem_comp,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90324,chem_comp,*,*,O,Entry_interview,_Entry_interview.BMRB_deposition,yes
90334,chem_comp,Chem_comp,_Chem_comp.Name,Y,Entry_interview,_Entry_interview.Ligands,yes
90335,chem_comp,Chem_comp,_Chem_comp.Name,Y,Entry_interview,_Entry_interview.Non_standard_residues,yes
90336,chem_comp,Chem_comp,_Chem_comp.Name,Y,Entity,_Entity.Nstd_monomer,yes
90340,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,Y,Entry_interview,_Entry_interview.Ligands,yes
90341,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,Y,Entry_interview,_Entry_interview.Non_standard_residues,yes
90342,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,Y,Entity,_Entity.Nstd_monomer,yes
90343,chem_comp,Chem_comp,_Chem_comp.Aromatic,Y,Entry_interview,_Entry_interview.Ligands,yes
90344,chem_comp,Chem_comp,_Chem_comp.Aromatic,Y,Entry_interview,_Entry_interview.Non_standard_residues,yes
90345,chem_comp,Chem_comp,_Chem_comp.Aromatic,Y,Entity,_Entity.Nstd_monomer,yes
90357,chem_comp,Chem_comp,_Chem_comp.Formal_charge,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90358,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90359,chem_comp,Chem_comp,_Chem_comp.Aromatic,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90360,chem_comp,Chem_comp,_Chem_comp.Formula_weight,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90361,chem_comp,Chem_comp,_Chem_comp.Formula,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90362,chem_comp,Chem_comp,_Chem_comp.Name,Y,Assembly,_Assembly.Organic_ligands,[1-9]+
90362,chem_comp,Chem_comp,_Chem_comp.Name,Y,Assembly,_Assembly.Metal_ions,[1-9]+
90362,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,Y,Assembly,_Assembly.Organic_ligands,[1-9]+
90362,chem_comp,Chem_comp,_Chem_comp.Paramagnetic,Y,Assembly,_Assembly.Metal_ions,[1-9]+
90362,chem_comp,Chem_comp,_Chem_comp.Aromatic,Y,Assembly,_Assembly.Organic_ligands,[1-9]+
90362,chem_comp,Chem_comp,_Chem_comp.Aromatic,Y,Assembly,_Assembly.Metal_ions,[1-9]+
90363,conformer_statistics,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90374,representative_conformer,*,*,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90380,conformer_family_coord_set,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90390,constraint_statistics,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90392,chem_shift_reference,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90393,chem_shift_reference,*,*,H,Entry_interview,_Entry_interview.Assigned_chem_shifts,no
90394,chem_shift_reference,*,*,O,Entry_interview,_Entry_interview.Assigned_chem_shifts,yes
90395,chem_shift_reference,*,*,O,Entry_interview,_Entry_interview.Spectral_peak_lists,yes
90396,chem_shift_reference,*,*,O,Entry_interview,_Entry_interview.Chem_shift_perturbation,yes
90394,assigned_chemical_shifts,*,*,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90410,assigned_chemical_shifts,*,*,O,Entry_interview,_Entry_interview.Assigned_chem_shifts,yes
90430,coupling_constants,*,*,O,Entry_interview,_Entry_interview.Coupling_constants,yes
90432,chem_shift_anisotropy,*,*,O,Entry_interview,_Entry_interview.Chem_shift_anisotropy,yes
90440,RDCs,*,*,O,Entry_interview,_Entry_interview.Residual_dipolar_couplings,yes
90442,auto_relaxation,*,*,O,Entry_interview,_Entry_interview.Auto_relaxation,yes
90444,tensor,*,*,O,Entry_interview,_Entry_interview.Tensor,yes
90446,interatomic_distance,*,*,O,Entry_interview,_Entry_interview.Interatomic_distance,yes
90450,homonucl_NOEs,*,*,O,Entry_interview,_Entry_interview.Homonucl_NOEs,yes
90460,heteronucl_NOEs,*,*,O,Entry_interview,_Entry_interview.Heteronucl_NOEs,yes
90470,heteronucl_T1_relaxation,*,*,O,Entry_interview,_Entry_interview.Heteronucl_T1_relaxation,yes
90480,heteronucl_T2_relaxation,*,*,O,Entry_interview,_Entry_interview.Heteronucl_T2_relaxation,yes
90490,heteronucl_T1rho_relaxation,*,*,O,Entry_interview,_Entry_interview.Heteronucl_T1rho_relaxation,yes
90500,order_parameters,*,*,O,Entry_interview,_Entry_interview.Order_parameters,yes
90510,dipole_dipole_relaxation,*,*,O,Entry_interview,_Entry_interview.Dipole_dipole_relaxation,yes
90520,dipole_dipole_cross_correlations,*,*,O,Entry_interview,_Entry_interview.DD_cross_correlation,yes
90530,dipole_CSA_cross_correlations,*,*,O,Entry_interview,_Entry_interview.Dipole_CSA_cross_correlation,yes
90540,H_exch_rates,*,*,O,Entry_interview,_Entry_interview.H_exchange_rate,yes
90550,H_exch_protection_factors,*,*,O,Entry_interview,_Entry_interview.H_exchange_protection_factors,yes
90560,theoretical_chem_shifts,*,*,O,Entry_interview,_Entry_interview.Theoretical_chem_shifts,yes
90570,chem_shifts_calc_type,*,*,O,Entry_interview,_Entry_interview.Theoretical_chem_shifts,yes
90572,binding_data,*,*,O,Entry_interview,_Entry_interview.Binding_constants,yes
90574,chemical_rates,*,*,O,Entry_interview,_Entry_interview.Chem_rate_constants,yes
90580,pH_titration,*,*,O,Entry_interview,_Entry_interview.PKa_value_data_set,yes
90590,pH_param_list,*,*,O,Entry_interview,_Entry_interview.PKa_value_data_set,yes
90600,D_H_fractionation_factors,*,*,O,Entry_interview,_Entry_interview.D_H_fractionation_factors,yes
90610,spectral_density_values,*,*,O,Entry_interview,_Entry_interview.Spectral_density_values,yes
90620,other_data_types,*,*,O,Entry_interview,_Entry_interview.Other_kind_of_data,yes
90680,assembly,*,*,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90690,assembly,*,*,O,Entry_interview,_Entry_interview.BMRB_deposition,yes
90694,entry_information,Entry,_Entry.Replace_PDB_accession_code,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90696,entry_information,Entry,_Entry.PDB_update_details,N,Entry_interview,_Entry_interview.PDB_deposition,yes
90698,entry_information,Entry,_Entry.BMRB_update_details,H,Entry_interview,_Entry_interview.PDB_deposition,yes
90708,entry_information,Entry,_Entry.CASP_target,H,Entry_interview,_Entry_interview.BMRB_deposition,yes
90710,entry_information,Entry,_Entry.Dep_release_code_nmr_exptl,Y,Entry_interview,_Entry_interview.BMRB_deposition,yes
90970,conformer_statistics,Conformer_stat_list,*,N,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
90972,conformer_statistics,Conformer_stat_list,*,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
90974,conformer_statistics,Conformer_stat_list,*,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
90980,conformer_statistics,Conformer_stat_list,*,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
90990,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_calculated_total_num,Y,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91000,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_submitted_total_num,Y,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91010,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_selection_criteria,Y,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91020,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Representative_conformer,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91030,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Rep_conformer_selection_criteria,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91040,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_calculated_total_num,Y,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
91050,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Rep_conformer_selection_criteria,Y,Conformer_stat_list,_Conformer_stat_list.Representative_conformer_only,yes
91080,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_calculated_total_num,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91090,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_submitted_total_num,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91100,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Conformer_selection_criteria,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91110,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Representative_conformer,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91120,conformer_statistics,Conformer_stat_list,_Conformer_stat_list.Rep_conformer_selection_criteria,Y,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91150,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Atm_coord_avg_rmsd_calc_method,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91160,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91170,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91180,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91190,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91200,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91210,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91220,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91230,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91240,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91250,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91260,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91270,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91280,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91290,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91300,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Conformer_ensemble_only,yes
91310,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.Atm_coord_avg_rmsd_calc_method,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91320,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91330,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91340,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91350,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91360,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.BB_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91370,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91380,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91390,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91400,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_coord_std_dev_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91410,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.SC_hvy_atm_residues_included,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91420,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_avg_rmsd,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91430,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_avg_rmsd_err,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
91440,conformer_statistics,Conformer_stat_list_ens,_Conformer_stat_list_ens.All_hvy_atm_coord_std_dev,N,Conformer_stat_list,_Conformer_stat_list.Both_ensemble_and_rep_conformer,yes
