dictionarySeq,originalCategory,aditCatManFlg,aditCatViewType,aditSuperCatID,aditSuperCatName,aditCatGrpID,aditCatViewName,aditInitialRows,originalTag,aditExists,aditViewFlgs,enumeratedFlg,itemEnumClosedFlg,aditItemViewName,aditFormCode,dbType,bmrbType,dbNullable,internalFlg,rowIndexFlg,lclIDFlg,lclSfIdFlg,sfIdFlg,sfLabelFlg,sfCategoryFlg,sfFramecodeFlg,primaryKey,foreignKeyGroup,foreignTable,foreignColumn,indexFlg,dbTableName,dbColumnName,tagCategory,tagField,loopFlg,seq,dbFlg,validateFlgs,valOverideFlgs,defaultValue,bmrbPdbMatchId,bmrbPdbTransFunc,variableTypeMatch,entryIdFlg,OutputMapExistsFlg,aditAutoInsert,datumCountFlgs,metaDataFlgs,tagDeleteFlgs,RefKeyGroup,RefTable,RefColumn,example
9330,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Sf_category,Y,HHHHH,N,,Sf category,0,VARCHAR(127),code,NOT NULL,,N,?,?,N,N,Y,N,,,,,,ChemComp,SfCategory,Chem_comp,Sf_category,N,2520,Y,MMMMMM,MMMMMM,?,?,?,,N,?,1,?,Y,N,?,?,?,?
9340,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Sf_framecode,Y,HHHHH,N,,Sf framecode,1,VARCHAR(127),framecode,NOT NULL,,N,?,?,N,Y,N,N,,,,,,ChemComp,SfFramecode,Chem_comp,Sf_framecode,N,2530,Y,MMMMMM,IIIIII,?,90,3,,N,?,2,?,Y,N,?,?,?,?
9350,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Entry_ID,Y,HHHHH,N,,Entry ID,0,CHAR(12),code,NOT NULL,,N,Y,?,N,N,N,N,Y,,Entry,ID,,ChemComp,EntryID,Chem_comp,Entry_ID,N,2540,Y,MMMMMM,MMMMMM,?,?,?,,Y,?,3,?,Y,N,1,Entry,ID,?
9360,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Sf_ID,Y,HHHHH,N,,Sf ID,0,INTEGER,int,NOT NULL,Y,N,?,?,Y,N,N,N,,,,,,ChemComp,SfID,Chem_comp,Sf_ID,N,2550,Y,IIIIII,IIIIII,?,?,?,,N,?,4,?,Y,N,?,?,?,?
9370,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.ID,Y,HHHHH,N,,ID,0,CHAR(12),code,NOT NULL,,N,Y,Y,N,N,N,N,Y,,,,,ChemComp,ChemCompID,Chem_comp,ID,N,2560,Y,MMMMMM,MMMMMM,?,90,3,,N,?,5,?,Y,N,?,?,?,?
9380,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Name,Y,NYHHH,N,,Name,1,VARCHAR(511),line,NOT NULL,,N,?,?,N,N,N,N,,,,,,ChemComp,Name,Chem_comp,Name,N,2570,Y,MMMMMM,MMMMMM,?,92,3,,N,?,0,?,Y,N,?,?,?,?
9390,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Type,Y,HHHHH,Y,Y,Type,1,VARCHAR(127),line,NOT NULL,,N,?,?,N,N,N,N,,,,,,ChemComp,Type,Chem_comp,Type,N,2580,Y,MMMMMM,MMMMMM,?,10000,3,,N,?,0,?,Y,N,?,?,?,?
9400,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.BMRB_code,Y,HHHHH,N,,BMRB code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,BMRBCode,Chem_comp,BMRB_code,N,2590,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9410,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDB_code,Y,NNHHH,N,,PDB code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBCode,Chem_comp,PDB_code,N,2600,Y,OOOOOO,OOOOOO,?,90,3,,N,?,0,?,Y,N,?,?,?,?
9420,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_type,Y,HHHHH,N,,PDBx type,1,VARCHAR(127),uline,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxType,Chem_comp,PDBx_type,N,2610,Y,OOOOOO,OOOOOO,?,1077,3,,N,?,0,?,Y,N,?,?,?,?
9430,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_ambiguous_flag,Y,HHHHH,Y,Y,PDBx ambiguous flag,1,VARCHAR(3),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxAmbiguousFlag,Chem_comp,PDBx_ambiguous_flag,N,2620,Y,OOOOOO,OOOOOO,?,11331,10,,N,?,0,?,Y,N,?,?,?,?
9440,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBX_initial_date,Y,HYHHH,N,,PDBX initial date,1,DATETIME year to day,yyyy-mm-dd,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBXInitialDate,Chem_comp,PDBX_initial_date,N,2630,Y,OOOOOO,OOOOOO,?,11359,1,,N,?,0,?,Y,N,?,?,?,?
9450,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBX_modified_date,Y,HYHHH,N,,PDBX modified date,1,DATETIME year to day,yyyy-mm-dd,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBXModifiedDate,Chem_comp,PDBX_modified_date,N,2640,Y,OOOOOO,OOOOOO,?,11360,1,,N,?,0,?,Y,N,?,?,?,?
9460,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_release_status,Y,HYHHH,N,,PDBx release status,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxReleaseStatus,Chem_comp,PDBx_release_status,N,2650,Y,OOOOOO,OOOOOO,?,11361,1,,N,?,0,?,Y,N,?,?,?,?
9470,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_replaced_by,Y,HYHHH,N,,PDBx replaced by,1,VARCHAR(15),ucode,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxReplacedBy,Chem_comp,PDBx_replaced_by,N,2660,Y,OOOOOO,OOOOOO,?,11362,1,,N,?,0,?,Y,N,?,?,?,?
9480,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_replaces,Y,HYHHH,N,,PDBx replaces,1,VARCHAR(127),uline,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxReplaces,Chem_comp,PDBx_replaces,N,2670,Y,OOOOOO,OOOOOO,?,11363,1,,N,?,0,?,Y,N,?,?,?,?
9490,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.One_letter_code,Y,HYHHH,N,,One letter code,1,CHAR(1),uchar1,,,N,?,?,N,N,N,N,,,,,,ChemComp,OneLetterCode,Chem_comp,One_letter_code,N,2680,Y,OOOOOO,OOOOOO,?,10045,3,,N,?,0,?,Y,N,?,?,?,?
9500,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Three_letter_code,Y,HYHHH,N,,Three letter code,1,VARCHAR(15),uchar3,,,N,?,?,N,N,N,N,,,,,,ChemComp,ThreeLetterCode,Chem_comp,Three_letter_code,N,2690,Y,OOOOOO,OOOOOO,?,10046,3,,N,?,0,?,Y,N,?,?,?,?
9510,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Number_atoms_all,Y,HYHHH,N,,Number atoms all,1,INTEGER,int,,,N,?,?,N,N,N,N,,,,,,ChemComp,NumberAtomsAll,Chem_comp,Number_atoms_all,N,2700,Y,OOOOOO,OOOOOO,?,1070,3,,N,?,0,?,Y,N,?,?,?,?
9520,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Number_atoms_nh,Y,HYHHH,N,,Number atoms nh,1,INTEGER,int,,,N,?,?,N,N,N,N,,,,,,ChemComp,NumberAtomsNh,Chem_comp,Number_atoms_nh,N,2710,Y,OOOOOO,OOOOOO,?,1071,3,,N,?,0,?,Y,N,?,?,?,?
9530,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PubChem_code,Y,HYHHH,N,,PubChem code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,PubChemCode,Chem_comp,PubChem_code,N,2720,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9540,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_subcomponent_list,Y,HYHHH,N,,PDBx subcomponent list,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxSubcomponentList,Chem_comp,PDBx_subcomponent_list,N,2730,Y,OOOOOO,OOOOOO,?,11364,3,,N,?,0,?,Y,N,?,?,?,?
9550,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.InCHi_code,Y,HNHHH,N,,InCHi code,2,VARCHAR(1024),text,,,N,?,?,N,N,N,N,,,,,,ChemComp,InCHiCode,Chem_comp,InCHi_code,N,2740,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9560,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Mon_nstd_flag,Y,HHHHH,Y,Y,Mon nstd flag,5,VARCHAR(3),yes_no,,,N,?,?,N,N,N,N,,,,,,ChemComp,MonNstdFlag,Chem_comp,Mon_nstd_flag,N,2750,Y,OOOOOO,OOOOOO,?,91,10,,N,?,0,?,Y,N,?,?,?,?
9570,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Mon_nstd_class,Y,HYHHH,N,,Mon nstd class,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,MonNstdClass,Chem_comp,Mon_nstd_class,N,2760,Y,OOOOOO,OOOOOO,?,1065,3,,N,?,0,?,Y,N,?,?,?,?
9580,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Mon_nstd_details,Y,HYHHH,N,,Mon nstd details,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,MonNstdDetails,Chem_comp,Mon_nstd_details,N,2770,Y,OOOOOO,OOOOOO,?,1066,3,,N,?,0,?,Y,N,?,?,?,?
9590,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Mon_nstd_parent,Y,HYHHH,N,,Mon nstd parent,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,MonNstdParent,Chem_comp,Mon_nstd_parent,N,2780,Y,OOOOOO,OOOOOO,?,1067,3,,N,?,0,?,Y,N,?,?,?,?
9600,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Mon_nstd_parent_comp_ID,Y,HYHHH,N,,Mon nstd parent comp ID,0,VARCHAR(1024),uline,,,N,?,?,N,N,N,N,,,,,,ChemComp,MonNstdParentCompID,Chem_comp,Mon_nstd_parent_comp_ID,N,2790,Y,OOOOOO,OOOOOO,?,1068,3,,N,?,0,?,Y,N,?,?,?,?
9610,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Std_deriv_one_letter_code,Y,HHHHH,N,,Std deriv one letter code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,StdDerivOneLetterCode,Chem_comp,Std_deriv_one_letter_code,N,2800,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9620,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Std_deriv_three_letter_code,Y,HHHHH,N,,Std deriv three letter code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,StdDerivThreeLetterCode,Chem_comp,Std_deriv_three_letter_code,N,2810,Y,MMMMMM,MMMMMM,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9630,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Std_deriv_BMRB_code,Y,HHHHH,N,,Std deriv BMRB code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,StdDerivBMRBCode,Chem_comp,Std_deriv_BMRB_code,N,2820,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9640,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Std_deriv_PDB_code,Y,HHHHH,N,,Std deriv PDB code,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,StdDerivPDBCode,Chem_comp,Std_deriv_PDB_code,N,2830,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9650,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Std_deriv_chem_comp_name,Y,HHHHH,N,,Std deriv chem comp name,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,StdDerivChemCompName,Chem_comp,Std_deriv_chem_comp_name,N,2840,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9660,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.PDBx_synonyms,Y,HYHHH,N,,PDBx synonyms,0,VARCHAR(1024),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,PDBxSynonyms,Chem_comp,PDBx_synonyms,N,2850,Y,OOOOOO,OOOOOO,?,1076,3,,N,?,0,?,Y,N,?,?,?,?
9670,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formal_charge,Y,NHHHH,Y,N,Formal charge,1,VARCHAR(15),code,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormalCharge,Chem_comp,Formal_charge,N,2860,Y,MMMMMM,MMMMMM,?,1074,3,,N,?,0,?,Y,N,?,?,?,?
9680,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Paramagnetic,Y,NYHHH,Y,Y,Paramagnetic,5,VARCHAR(3),yes_no,,,N,?,?,N,N,N,N,,,,,,ChemComp,Paramagnetic,Chem_comp,Paramagnetic,N,2870,Y,VVVVVV,VVVVVV,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9690,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Aromatic,Y,NYHHH,Y,Y,Aromatic,5,VARCHAR(3),yes_no,,,N,?,?,N,N,N,N,,,,,,ChemComp,Aromatic,Chem_comp,Aromatic,N,2880,Y,VVVVVV,VVVVVV,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9700,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula,Y,NYHHH,N,,Formula,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,Formula,Chem_comp,Formula,N,2890,Y,OOOOOO,OOOOOO,?,93,3,,N,?,0,?,Y,N,?,?,?,?
9710,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula_weight,Y,NNHHH,N,,Formula weight,1,FLOAT,float,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormulaWeight,Chem_comp,Formula_weight,N,2900,Y,OOOOOO,OOOOOO,?,94,3,,N,?,0,?,Y,N,?,?,?,?
9720,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula_mono_iso_wt_nat,Y,HHHHH,N,,Formula mono iso wt nat,1,FLOAT,float,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormulaMonoIsoWtNat,Chem_comp,Formula_mono_iso_wt_nat,N,2910,Y,OOOOOO,OOOOOO,?,?,?,?,N,?,0,?,Y,Y,?,?,?,?
9730,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula_mono_iso_wt_13C,Y,HHHHH,N,,Formula mono iso wt 13C,1,FLOAT,float,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormulaMonoIsoWt13C,Chem_comp,Formula_mono_iso_wt_13C,N,2920,Y,OOOOOO,OOOOOO,?,?,?,?,N,?,0,?,Y,Y,?,?,?,?
9740,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula_mono_iso_wt_15N,Y,HHHHH,N,,Formula mono iso wt 15N,1,FLOAT,float,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormulaMonoIsoWt15N,Chem_comp,Formula_mono_iso_wt_15N,N,2930,Y,OOOOOO,OOOOOO,?,?,?,?,N,?,0,?,Y,Y,?,?,?,?
9750,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Formula_mono_iso_wt_13C_15N,Y,HHHHH,N,,Formula mono iso wt 13C 15N,1,FLOAT,float,,,N,?,?,N,N,N,N,,,,,,ChemComp,FormulaMonoIsoWt13C15N,Chem_comp,Formula_mono_iso_wt_13C_15N,N,2940,Y,OOOOOO,OOOOOO,?,?,?,?,N,?,0,?,Y,Y,?,?,?,?
9760,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Image_file_name,Y,NNHHH,Y,N,Image file name,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,ImageFileName,Chem_comp,Image_file_name,N,2950,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9770,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Image_file_format,Y,NNHHH,Y,N,Image file format,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,ImageFileFormat,Chem_comp,Image_file_format,N,2960,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9780,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Topo_file_name,Y,HHHHH,N,,Topo file name,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,TopoFileName,Chem_comp,Topo_file_name,N,2970,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9790,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Topo_file_format,Y,HHHHH,N,,Topo file format,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,TopoFileFormat,Chem_comp,Topo_file_format,N,2980,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9800,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Struct_file_name,Y,HHHHH,N,,Struct file name,0,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,StructFileName,Chem_comp,Struct_file_name,N,2990,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9810,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Struct_file_format,Y,HHHHH,N,,Struct file format,0,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,StructFileFormat,Chem_comp,Struct_file_format,N,3000,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9820,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Stereochem_param_file_name,Y,HHHHH,N,,Stereochem param file name,0,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,StereochemParamFileName,Chem_comp,Stereochem_param_file_name,N,3010,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9830,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Stereochem_param_file_format,Y,HHHHH,N,,Stereochem param file format,0,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,StereochemParamFileFormat,Chem_comp,Stereochem_param_file_format,N,3020,Y,OOOOOO,OOOOOO,?,?,?,,N,?,0,?,Y,N,?,?,?,?
9840,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_details,Y,HHHHH,N,,Model details,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelDetails,Chem_comp,Model_details,N,3030,Y,OOOOOO,OOOOOO,?,11350,1,,N,?,0,?,Y,N,?,?,?,?
9850,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_erf,Y,HHHHH,N,,Model erf,1,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelErf,Chem_comp,Model_erf,N,3040,Y,OOOOOO,OOOOOO,?,11351,1,,N,?,0,?,Y,N,?,?,?,?
9860,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_source,Y,HHHHH,N,,Model source,1,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelSource,Chem_comp,Model_source,N,3050,Y,OOOOOO,OOOOOO,?,11352,1,,N,?,0,?,Y,N,?,?,?,?
9870,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_coordinates_details,Y,HHHHH,N,,Model coordinates details,0,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelCoordinatesDetails,Chem_comp,Model_coordinates_details,N,3060,Y,OOOOOO,OOOOOO,?,11353,1,,N,?,0,?,Y,N,?,?,?,?
9880,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_coordinates_missing_flag,Y,HHHHH,Y,Y,Model coordinates missing flag,0,VARCHAR(3),ucode,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelCoordinatesMissingFlag,Chem_comp,Model_coordinates_missing_flag,N,3070,Y,OOOOOO,OOOOOO,?,11354,10,,N,?,0,?,Y,N,?,?,?,?
9890,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Ideal_coordinates_details,Y,HHHHH,N,,Ideal coordinates details,0,TEXT,text,,,N,?,?,N,N,N,N,,,,,,ChemComp,IdealCoordinatesDetails,Chem_comp,Ideal_coordinates_details,N,3080,Y,OOOOOO,OOOOOO,?,11355,1,,N,?,0,?,Y,N,?,?,?,?
9900,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Ideal_coordinates_missing_flag,Y,HHHHH,Y,Y,Ideal coordinates missing flag,0,VARCHAR(3),ucode,,,N,?,?,N,N,N,N,,,,,,ChemComp,IdealCoordinatesMissingFlag,Chem_comp,Ideal_coordinates_missing_flag,N,3090,Y,OOOOOO,OOOOOO,?,11356,10,,N,?,0,?,Y,N,?,?,?,?
9910,chem_comp,N,R,3,assembly_supercategory,50,Chemical compound information <BR>(ligands$ cofactors$ metal ions$ non-standard<BR> residues$ etc.),,_Chem_comp.Model_coordinates_db_code,Y,HHHHH,N,,Model coordinates db code,0,VARCHAR(127),line,,,N,?,?,N,N,N,N,,,,,,ChemComp,ModelCoordinatesDbCode,Chem_comp,Model_coordinates_db_code,N,3100,Y,OOOOOO,OOOOOO,?,11357,1,,N,?,0,?,Y,N,?,?,?,?
