Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,metabolomics,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
1520,entry_information,Y,T6,1,entry_information,20,Entry prerelease seq,_Entry_prerelease_seq.Seq_one_letter_code,,,,,,Y,H,H,H,H,H,N,,,,,,Seq one letter code,TEXT,,,EntryPrereleaseSeq,SeqOneLetterCode,N,N,,,,,,,,,Y,30,,,,,,0,?,n/a,Chemical sequence expressed as a string of one-letter amino acid or nucleic acid codes.,?,?,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,2,Entry_prerelease_seq,Seq_one_letter_code,?,?,?,?,Y,N,text,,?,?,?,Chemical sequence expressed as a string of one-letter amino acid or nucleic acid codes.,,N,?,?,Entry prerelease seq,?,n/a,Chemical sequence expressed as a string of one-letter amino acid or nucleic acid codes.,Entry prerelease seq,?,n/a,Chemical sequence expressed as a string of one-letter amino acid or nucleic acid codes.,?,?
1530,entry_information,Y,T6,1,entry_information,20,Entry prerelease seq,_Entry_prerelease_seq.Sf_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,,Y,EntryPrereleaseSeq,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,40,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Entry_prerelease_seq,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Entry prerelease seq,?,n/a,Pointer to '_Entry.Sf_ID',Entry prerelease seq,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1540,entry_information,Y,T6,1,entry_information,20,Entry prerelease seq,_Entry_prerelease_seq.Entry_ID,,,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,EntryPrereleaseSeq,EntryID,N,N,,Y,,Entry,ID,,,,Y,50,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,I,I,I,I,I,V,V,V,V,V,V,?,0,Entry_prerelease_seq,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Entry prerelease seq,?,n/a,Pointer to '_Entry.ID',Entry prerelease seq,?,n/a,Pointer to '_Entry.ID',?,?
1550,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.ID,,,,,,Y,H,H,H,H,H,N,,,,,,ID,INTEGER,NOT NULL,,ContactPerson,ContactPersonID,Y,N,,Y,,,,,,,Y,10,2,,,,,6,?,n/a,Unique identifier within the entry for the named contact person.,10600,1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,0,Contact_person,ID,?,?,?,?,Y,N,int,,?,?,?,Unique identifier within the entry for the named contact person.,,N,?,?,Contact person,?,n/a,Unique identifier within the entry for the named contact person.,Contact person,?,n/a,Unique identifier within the entry for the named contact person.,?,?
1560,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Email_address,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Email address,VARCHAR(127),NOT NULL,,ContactPerson,EmailAddress,N,N,,,,,,,,,Y,20,2,,,,,0,jsmith@home_addr.gov,E-mail address <BR> (entering the e-mail address first may populate <BR> many of the fields below),Business e-mail address for the contact person.,11133;3,1;0,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Email_address,?,?,?,?,Y,N,email,,?,?,?,Business e-mail address for the contact person.,,N,?,?,Contact person,jsmith@home_addr.gov,E-mail address,Business e-mail address for the contact person.,Contact person,jsmith@home_addr.gov,E-mail address,Business e-mail address for the contact person.,?,?
1570,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Name_salutation,,,,,,Y,N,N,H,H,H,Y,N,,,,,Name salutation,VARCHAR(31),,,ContactPerson,NameSalutation,N,N,,,,,,,,,Y,30,2,,,,,0,Dr.,Salutation,The salutation of the author of the deposition to whom correspondence should be addressed,10601,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Name_salutation,?,?,?,?,Y,N,line,,?,?,?,The salutation of the author of the deposition to whom correspondence should be addressed,,N,?,?,Contact person,Dr.,Salutation,The salutation of the author of the deposition to whom correspondence should be addressed,Contact person,Dr.,Salutation,The salutation of the author of the deposition to whom correspondence should be addressed,?,?
1580,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Given_name,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Given name,VARCHAR(31),NOT NULL,,ContactPerson,GivenName,N,N,,,,,,,,,Y,40,2,2,,,,0,John,Contact person's first name,The name given the contact person at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,1;10602,0;1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Given_name,?,?,?,?,Y,N,line,,?,?,?,The name given the contact person at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,,N,?,?,Contact person,John,Contact person's first name,The name given the contact person at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,Contact person,John,Contact person's first name,The name given the contact person at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,?,?
1590,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Family_name,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Family name,VARCHAR(31),NOT NULL,,ContactPerson,FamilyName,N,N,,,,,,,,,Y,50,2,1,,,,0,Smith,Contact person's last name,The family name for the contact person.,1;10603,0;1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Family_name,?,?,?,?,Y,N,line,,?,?,?,The family name for the contact person.,,N,?,?,Contact person,Smith,Contact person's last name,The family name for the contact person.,Contact person,Smith,Contact person's last name,The family name for the contact person.,?,?
1600,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Middle_initials,,O,,,,Y,H,N,H,H,H,N,,,,,,Middle initials,VARCHAR(15),,,ContactPerson,MiddleInitials,N,N,,,,,,,,,Y,60,2,4,,,,0,T.L.,Contact person's middle initials,The initials for the contact person's middle names.  A name can be used here if the contact person uses a middle name for publications.,1;10700,0;1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Middle_initials,?,?,?,?,Y,N,code,,?,?,?,The initials for the contact person's middle names.  A name can be used here if the contact person uses a middle name for publications.,,N,?,?,Contact person,T.L.,Contact person's middle initials,The initials for the contact person's middle names.  A name can be used here if the contact person uses a middle name for publications.,Contact person,T.L.,Contact person's middle initials,The initials for the contact person's middle names.  A name can be used here if the contact person uses a middle name for publications.,?,?
1610,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Family_title,,O,,,,Y,N,N,H,H,H,Y,N,citations,_Citation_author.Family_title,,,Family title,VARCHAR(15),,,ContactPerson,FamilyTitle,N,N,,,,,,,,,Y,70,2,5,,,,0,III,Contact person's family title (not professional title),A common family title (not a professional title).,?,?,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Family_title,?,?,?,?,Y,N,code,,?,?,?,A common family title (not a professional title).,,N,?,?,Contact person,III,Contact person's family title (not professional title),A common family title (not a professional title).,Contact person,III,Contact person's family title (not professional title),A common family title (not a professional title).,?,?
1620,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Department_and_institution,,M,,,,Y,H,H,H,H,H,N,,,,,,Department and institution,VARCHAR(255),,,ContactPerson,DepartmentAndInstitution,N,N,,,,,,,,,Y,80,2,,,,,0,Chemistry Dept.$ Rutgers Univ.,Department and institution,Department and institution where the contact person works.,10611,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Department_and_institution,?,?,?,?,Y,N,text,,?,?,?,Department and institution where the contact person works.,,N,?,?,Contact person,Chemistry Dept.$ Rutgers Univ.,Department and institution,Department and institution where the contact person works.,Contact person,Chemistry Dept.$ Rutgers Univ.,Department and institution,Department and institution where the contact person works.,?,?
1630,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Mailing_address,,M,,,,Y,H,H,H,H,H,N,,,,,,Mailing address,VARCHAR(255),,,ContactPerson,MailingAddress,N,N,,,,,,,,,Y,90,2,,,,,0,123 Hose Ln,Mailing address,A business mailing address for the contact person.,?,?,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Mailing_address,?,?,?,?,Y,N,text,,?,?,?,A business mailing address for the contact person.,,N,?,?,Contact person,123 Hose Ln,Mailing address,A business mailing address for the contact person.,Contact person,123 Hose Ln,Mailing address,A business mailing address for the contact person.,?,?
1640,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Address_1,,,,,,Y,Y,Y,H,H,H,N,,,,,,Address 1,VARCHAR(127),NOT NULL,,ContactPerson,Address1,N,N,,,,,,,,,Y,100,2,,,,,0,123 Hose Ln,Mailing address (line 1),The mailing address of the author of the entry to whom correspondence should be addressed$ line 1 of 3.,11134;5,1;0,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Address_1,?,?,?,?,Y,N,line,,?,?,?,The mailing address of the author of the entry to whom correspondence should be addressed$ line 1 of 3.,,N,?,?,Contact person,123 Hose Ln,Mailing address (line 1),The mailing address of the author of the entry to whom correspondence should be addressed$ line 1 of 3.,Contact person,123 Hose Ln,Mailing address (line 1),The mailing address of the author of the entry to whom correspondence should be addressed$ line 1 of 3.,?,?
1650,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Address_2,,,,,,Y,N,N,H,H,H,N,,,,,,Address 2,VARCHAR(127),,,ContactPerson,Address2,N,N,,,,,,,,,Y,110,2,,,,,0,Chemistry Dept.,Mailing address (line 2),The mailing address of the author of the entry to whom correspondence should be addressed$ line 2 of 3.,11031,1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Address_2,?,?,?,?,Y,N,line,,?,?,?,The mailing address of the author of the entry to whom correspondence should be addressed$ line 2 of 3.,,N,?,?,Contact person,Chemistry Dept.,Mailing address (line 2),The mailing address of the author of the entry to whom correspondence should be addressed$ line 2 of 3.,Contact person,Chemistry Dept.,Mailing address (line 2),The mailing address of the author of the entry to whom correspondence should be addressed$ line 2 of 3.,?,?
1660,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Address_3,,,,,,Y,N,N,H,H,H,N,,,,,,Address 3,VARCHAR(127),,,ContactPerson,Address3,N,N,,,,,,,,,Y,120,2,,,,,0,Rutgers Univ.,Mailing address (line 3),The mailing address of the author of the entry to whom correspondence should be addressed$ line 3 of 3.,11032,1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Address_3,?,?,?,?,Y,N,line,,?,?,?,The mailing address of the author of the entry to whom correspondence should be addressed$ line 3 of 3.,,N,?,?,Contact person,Rutgers Univ.,Mailing address (line 3),The mailing address of the author of the entry to whom correspondence should be addressed$ line 3 of 3.,Contact person,Rutgers Univ.,Mailing address (line 3),The mailing address of the author of the entry to whom correspondence should be addressed$ line 3 of 3.,?,?
1670,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.City,,,,,,Y,Y,Y,H,H,H,N,,,,,,City,VARCHAR(31),NOT NULL,,ContactPerson,City,N,N,,,,,,,,,Y,130,2,,,,,0,Piscataway,City,The city in the mailing address of the author of the entry to whom correspondence should be addresed.,10605,1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,City,?,?,?,?,Y,N,line,,?,?,?,The city in the mailing address of the author of the entry to whom correspondence should be addresed.,,N,?,?,Contact person,Piscataway,City,The city in the mailing address of the author of the entry to whom correspondence should be addresed.,Contact person,Piscataway,City,The city in the mailing address of the author of the entry to whom correspondence should be addresed.,?,?
1680,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.State_province,,,,,,Y,Y,Y,H,H,H,N,,,,,,State province,VARCHAR(31),NOT NULL,,ContactPerson,StateProvince,N,N,,,,,,,,,Y,140,2,,,,,0,New Jersey,State or province,The state or province for the address of the contact person.,10732,1,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,State_province,?,?,?,?,Y,N,line,,?,?,?,State or province where the contact person is located.,,N,?,?,Contact person,New Jersey,State or province,The state or province for the address of the contact person.,Contact person,New Jersey,State or province,The state or province for the address of the contact person.,?,?
1690,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Country,,,,,,Y,Y,Y,H,H,H,N,,,,,,Country,VARCHAR(31),NOT NULL,,ContactPerson,Country,N,N,,,,,,,,,Y,150,2,,,,,0,USA,Country,The country in the mailing address of the author of the entry to whom correspondence should be addresed.,10607,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Country,?,?,?,?,Y,N,line,,?,?,?,The country in the mailing address of the author of the entry to whom correspondence should be addresed.,,N,?,?,Contact person,USA,Country,The country in the mailing address of the author of the entry to whom correspondence should be addresed.,Contact person,USA,Country,The country in the mailing address of the author of the entry to whom correspondence should be addresed.,?,?
1700,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Postal_code,,,,,,Y,Y,Y,H,H,H,N,,,,,,Postal code,VARCHAR(31),,,ContactPerson,PostalCode,N,N,,,,,,,,,Y,160,2,,,,,0,8854,Postal code,The postal code or zip code for the address of the contact person to whom correspondence should be addressed.,10606,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,Postal_code,?,?,?,?,Y,N,line,,?,?,?,The postal code or zip code for the address of the contact person to whom correspondence should be addressed.,,N,?,?,Contact person,8854,Postal code,The postal code or zip code for the address of the contact person to whom correspondence should be addressed.,Contact person,8854,Postal code,The postal code or zip code for the address of the contact person to whom correspondence should be addressed.,?,?
1710,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Phone_number,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Phone number,VARCHAR(31),NOT NULL,,ContactPerson,PhoneNumber,N,N,,,,,,,,,Y,170,2,,,,,0,+1 123 456 7890,Telephone number,A business telephone number for the contact person.,11135;2,1;0,Y,Y,N,N,N,N,?,?,?,I,V,I,V,I,V,I,I,I,I,I,I,?,1,Contact_person,Phone_number,?,?,?,?,Y,N,phone,,?,?,?,A business telephone number for the contact person.,,N,?,?,Contact person,+1 123 456 7890,Telephone number,A business telephone number for the contact person.,Contact person,+1 123 456 7890,Telephone number,A business telephone number for the contact person.,?,?
1720,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.FAX_number,,M,,,,Y,N,H,H,H,H,N,,,,,,FAX number,VARCHAR(31),,,ContactPerson,FAXNumber,N,N,,,,,,,,,Y,180,2,,,,,0,+1 123 789 4560,FAX number,Business FAX number for the contact person.,11136;4,1;0,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,?,1,Contact_person,FAX_number,?,?,?,?,Y,N,fax,,?,?,?,Business FAX number for the contact person.,,N,?,?,Contact person,+1 123 789 4560,FAX number,Business FAX number for the contact person.,Contact person,+1 123 789 4560,FAX number,Business FAX number for the contact person.,?,?
1730,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Role,,,,,,Y,Y,H,H,H,H,Y,Y,,,,,Role,VARCHAR(127),,,ContactPerson,Role,N,N,,,,,,,,,Y,190,2,,,,,0,principal investigator,Role of this person in the project,Select the role that best describes this person's function in the project.,10610,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,principal investigator,1,Contact_person,Role,?,?,?,?,Y,N,line,,?,?,?,The role of this author in the project depositing this data.,,N,?,?,Contact person,principal investigator,Role of this person in the project,Select the role that best describes this person's function in the project.,Contact person,principal investigator,Role of this person in the project,Select the role that best describes this person's function in the project.,principal investigator,principal investigator
1740,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Organization_type,,,,,,Y,Y,H,H,H,H,Y,Y,,,,,Organization type,VARCHAR(31),,,ContactPerson,OrganizationType,N,N,,,,,,,,,Y,200,2,,,,,0,academic,Contact person's organization type,Select the value that best describes the type of organization with which this contact person is affiliated.,11137,1,Y,Y,N,N,N,N,?,?,?,I,O,I,O,I,O,I,I,I,I,I,I,academic,1,Contact_person,Organization_type,?,?,?,?,Y,N,line,,?,?,?,The organization type to which this author is affiliated.,,N,?,?,Contact person,academic,Contact person's organization type,Select the value that best describes the type of organization with which this contact person is affiliated.,Contact person,academic,Contact person's organization type,Select the value that best describes the type of organization with which this contact person is affiliated.,academic,academic
1750,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,ContactPerson,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,210,2,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Contact_person,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Contact person,?,n/a,Pointer to '_Entry.Sf_ID',Contact person,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1760,entry_information,Y,T7,1,entry_information,20,Contact person,_Contact_person.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ContactPerson,EntryID,N,N,,Y,,Entry,ID,,,,Y,220,2,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,I,V,I,V,I,V,V,V,V,V,V,V,?,0,Contact_person,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Contact person,?,n/a,Pointer to '_Entry.ID',Contact person,?,n/a,Pointer to '_Entry.ID',?,?
1770,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Ordinal,,M,,,,Y,H,H,H,H,H,N,,,,,,Ordinal,INTEGER,NOT NULL,,EntryAuthor,Ordinal,Y,N,,Y,,,,,,,Y,10,5,,,,,6,1,Author order,Integer value defining the position of the author's name in the list of authors.,?,?,Y,Y,N,N,N,Y,?,?,?,V,V,V,V,V,V,V,V,V,V,V,V,?,1,Entry_author,Ordinal,Y,?,?,?,Y,N,int,,?,?,?,Integer value defining the position of the author's name in the list of authors.,,N,?,?,Entry authors,1,Author order,Integer value defining the position of the author's name in the list of authors.,Entry authors,1,Author order,Integer value defining the position of the author's name in the list of authors.,?,?
1780,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Given_name,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Given name,VARCHAR(31),NOT NULL,,EntryAuthor,GivenName,N,N,,,,,,,,,Y,20,5,2,,,,0,Adlai,Entry author's first name,The name given the author at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,6,15,Y,Y,N,N,N,N,?,?,?,M,M,M,M,M,M,M,M,M,M,M,M,?,1,Entry_author,Given_name,?,?,?,?,Y,N,line,,?,?,?,The name given the author at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,,N,?,?,Entry authors,Adlai,Entry author's first name,The name given the author at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,Entry authors,Adlai,Entry author's first name,The name given the author at birth or currently used by the author for publication purposes.  Can be an initial if the author uses a second name as a full name when publishing.,?,?
1790,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Family_name,,M,,,,Y,Y,Y,H,H,H,N,,,,,,Family name,VARCHAR(127),NOT NULL,,EntryAuthor,FamilyName,N,N,,,,,,,,,Y,30,5,1,,,,0,Stevenson,Entry author's last name,The family name of the author.,6,15,Y,Y,N,N,N,N,?,?,?,M,M,M,M,M,M,M,M,M,M,M,M,?,1,Entry_author,Family_name,?,?,?,?,Y,N,line,,?,?,?,The family name of the author.,,N,?,?,Entry authors,Stevenson,Entry author's last name,The family name of the author.,Entry authors,Stevenson,Entry author's last name,The family name of the author.,?,?
1800,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.First_initial,,X,,,,Y,H,H,H,H,H,N,,,,,,First initial,VARCHAR(15),,,EntryAuthor,FirstInitial,N,N,,,,,,,,,Y,40,5,3,,,,0,A.,Entry author's initial for their given name,Initial of the author's first name.,6,15,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_author,First_initial,?,?,?,?,Y,N,code,,?,?,?,Initial of the author's first name.,,N,?,?,Entry authors,A.,Entry author's initial for their given name,Initial of the author's first name.,Entry authors,A.,Entry author's initial for their given name,Initial of the author's first name.,?,?
1810,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Middle_initials,,O,,,,Y,N,N,H,H,H,N,,,,,,Middle initials,VARCHAR(15),,,EntryAuthor,MiddleInitials,N,N,,,,,,,,,Y,50,5,4,,,,0,T.L.,Initials for the author's middle names,The initials for the author's middle names.  A name can be used here if the author uses a middle name for publications.,6,15,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_author,Middle_initials,?,?,?,?,Y,N,code,,?,?,?,The initials for the author's middle names.  A name can be used here if the author uses a middle name for publications.,,N,?,?,Entry authors,T.L.,Initials for the author's middle names,The initials for the author's middle names.  A name can be used here if the author uses a middle name for publications.,Entry authors,T.L.,Initials for the author's middle names,The initials for the author's middle names.  A name can be used here if the author uses a middle name for publications.,?,?
1820,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Family_title,,O,,,,Y,N,N,H,H,H,Y,N,citations,_Citation_author.Family_title,,,Family title,VARCHAR(15),,,EntryAuthor,FamilyTitle,N,N,,,,,,,,,Y,60,5,5,,,,0,Jr.,Entry author's family title (not professional title),A common family title (not a professional title).,6,15,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Entry_author,Family_title,?,?,?,?,Y,N,code,,?,?,?,A common family title (not a professional title).,,N,?,?,Entry authors,Jr.,Entry author's family title (not professional title),A common family title (not a professional title).,Entry authors,Jr.,Entry author's family title (not professional title),A common family title (not a professional title).,?,?
1830,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,EntryAuthor,SfID,N,Y,,,,Entry,Sf_ID,,,,Y,70,5,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,N,_Entry.Sf_ID,?,_Entry.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Entry_author,Sf_ID,?,?,?,?,Y,N,int,,?,?,?,Pointer to '_Entry.Sf_ID',,N,?,?,Entry authors,?,n/a,Pointer to '_Entry.Sf_ID',Entry authors,?,n/a,Pointer to '_Entry.Sf_ID',?,?
1840,entry_information,Y,T6,1,entry_information,20,Entry authors (include contact names in this list$ if appropriate),_Entry_author.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,EntryAuthor,EntryID,N,N,,Y,,Entry,ID,,,,Y,80,5,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,V,V,V,V,V,V,V,V,V,V,V,V,?,0,Entry_author,Entry_ID,Y,?,?,?,Y,N,code,,?,?,?,Pointer to '_Entry.ID',,Y,?,Y,Entry authors,?,n/a,Pointer to '_Entry.ID',Entry authors,?,n/a,Pointer to '_Entry.ID',?,?
1850,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.SG_project_ID,,,,,,Y,H,H,H,H,H,N,,,,,,SG project ID,INTEGER,NOT NULL,,SGProject,SGProjectID,N,N,,Y,,,,,,,Y,10,,,,,,0,1; 2; 3,n/a,A unique integer identifier for this center,10411,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,SG_project,SG_project_ID,?,?,?,?,Y,N,int,,?,?,?,A unique integer identifier for this center,,N,?,?,Structural genomics project affiliation,1; 2; 3,n/a,A unique integer identifier for this center,Structural genomics project affiliation,1; 2; 3,n/a,A unique integer identifier for this center,?,?
1860,entry_information,Y,T6,1,entry_information,20,Structural genomics project affiliation,_SG_project.Project_name,,,,,,Y,H,H,H,H,H,Y,N,,,,,Project name,VARCHAR(127),NOT NULL,,SGProject,ProjectName,N,N,,,,,,,,,Y,20,,,,,,0,PSI (Protein Structure Initiative),Name for the Structural Genomics project$ if any,The value identifies the Structural Genomics project.,10413,55,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,SG_project,Project_name,?,?,?,?,Y,N,line,,?,?,?,The value identifies the Structural Genomics project of the granting agency.,,N,?,?,Structural genomics project affiliation,PSI (Protein Structure Initiative),Name for the Structural Genomics project$ if any,The value identifies the Structural Genomics project.,Structural genomics project affiliation,PSI (Protein Structure Initiative),Name for the Structural Genomics project$ if any,The value identifies the Structural Genomics project.,?,?
