Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,internal,sg/public,sg/internal,usr/public,Overide publiM,Overide internal,Overide meta,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,pdbx equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type
10560,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Atom chem shift,_Atom_chem_shift.Entry_atom_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID,CHAR(12),,,AtomChemShift,EntryAtomID,N,N,,,,Atom,Entry_atom_ID,,,,Y,200,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Atom_chem_shift,Entry_atom_ID,?,?,?,?,N,N,code
10570,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Atom chem shift,_Atom_chem_shift.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AtomChemShift,EntryID,N,N,,,,Entry,ID,,,,Y,210,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Atom_chem_shift,Entry_ID,?,?,?,?,N,N,code
10580,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Atom chem shift,_Atom_chem_shift.Assigned_chem_shift_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Assigned chem shift list ID,CHAR(12),NOT NULL,,AtomChemShift,AssignedChemShiftListID,N,N,,,,Assigned_chem_shift_list,ID,,,,Y,220,,,,,,5,?,n/a,Pointer to '_Assigned_chem_shift_list.ID',?,?,Y,Y,N,N,N,N,_Assigned_chem_shift_list.ID,?,_Assigned_chem_shift_list.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Atom_chem_shift,Assigned_chem_shift_list_ID,Y,?,?,?,N,N,line
10590,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Ambiguous atom chem shift,_Ambiguous_atom_chem_shift.Ambiguous_shift_set_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguous shift set ID,CHAR(12),NOT NULL,,AmbiguousAtomChemShift,AmbiguousShiftSetID,N,N,,Y,,,,,,,Y,10,,,,,,0,?,Shift set ID,?,?,?,Y,Y,N,N,N,Y,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Ambiguous_atom_chem_shift,Ambiguous_shift_set_ID,Y,?,?,?,N,N,code
10600,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Ambiguous atom chem shift,_Ambiguous_atom_chem_shift.Atom_chem_shift_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Atom chem shift ID,CHAR(12),NOT NULL,,AmbiguousAtomChemShift,AtomChemShiftID,N,N,,Y,,,,,,,Y,20,,,,,,0,?,Atom chem shift ID,?,?,?,Y,Y,N,N,N,N,_Atom_chem_shift.ID,?,_Atom_chem_shift.ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Ambiguous_atom_chem_shift,Atom_chem_shift_ID,Y,?,?,?,N,N,line
10610,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Ambiguous atom chem shift,_Ambiguous_atom_chem_shift.Sf_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,AmbiguousAtomChemShift,SfID,N,Y,,Y,,Assigned_chem_shift_list,Sf_ID,,,,Y,30,,,,,,4,?,n/a,Pointer to '_Assigned_chem_shift_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Assigned_chem_shift_list.Sf_ID,?,_Assigned_chem_shift_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Ambiguous_atom_chem_shift,Sf_ID,?,Y,?,?,N,N,float
10620,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Ambiguous atom chem shift,_Ambiguous_atom_chem_shift.Entry_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AmbiguousAtomChemShift,EntryID,N,N,,,,Entry,ID,,,,Y,40,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,I,R,R,R,R,R,R,R,R,R,?,0,Ambiguous_atom_chem_shift,Entry_ID,?,?,?,?,N,N,name
10630,assigned_chemical_shifts,N,T6,5,NMR_parameters,170,Ambiguous atom chem shift,_Ambiguous_atom_chem_shift.Assigned_chem_shift_list_ID,,X,,,,N,H,H,H,H,H,N,,,,,,Assigned chem shift list ID,CHAR(12),NOT NULL,,AmbiguousAtomChemShift,AssignedChemShiftListID,N,N,,,,Assigned_chem_shift_list,ID,,,,Y,50,,,,,,5,?,Assigned chemical shifts ID,Pointer to '_Assigned_chem_shift_list.ID',?,?,Y,Y,N,N,N,N,_Assigned_chem_shift_list.ID,?,_Assigned_chem_shift_list.ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Ambiguous_atom_chem_shift,Assigned_chem_shift_list_ID,Y,?,?,?,N,N,line
10640,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,CouplingConstantList,SfCategory,N,N,,,,,,,,,N,3200,,,,,,1,?,n/a,Category assigned to the information in the saveframe.,?,?,Y,Y,N,Y,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_list,Sf_category,?,?,?,?,Y,N,text
10650,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Sf_framecode,,X,,,,Y,Y,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,CouplingConstantList,SfFramecode,N,N,,,,,,,,,N,3210,,,,,,2,?,Coupling constant list label,A descriptive label that uniquely identifies this list of reported coupling constants..,?,?,Y,Y,Y,N,N,N,?,?,?,R,R,R,I,I,I,I,I,I,I,I,I,J_coupling_list_1,1,Coupling_constant_list,Sf_framecode,?,?,?,?,Y,N,int
10660,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,CouplingConstantList,EntryID,N,N,,,,Entry,ID,,,,N,3220,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_list,Entry_ID,Y,?,?,?,Y,N,code
10670,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,CouplingConstantList,SfID,N,Y,Y,Y,,,,,,,N,3230,,,,,,4,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Coupling_constant_list,Sf_ID,?,?,?,?,Y,N,code
10680,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,CouplingConstantList,CouplingConstantListID,N,N,Y,,,,,,,,N,3240,,,,,,5,?,ID,?,?,?,Y,Y,N,N,N,Y,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_list,ID,Y,?,?,?,Y,N,code
10690,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Details,,O,,,,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,CouplingConstantList,Details,N,N,,,,,,,,,N,3250,,,,,,0,?,Details,Text describing the reported coupling constants.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,2,Coupling_constant_list,Details,?,?,?,?,Y,N,line
10700,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Sample_condition_list_ID,,MC,,,,Y,H,H,H,H,H,N,,,,,,Sample condition list ID,CHAR(12),NOT NULL,,CouplingConstantList,SampleConditionListID,N,N,,,,Sample_condition_list,ID,,,,N,3260,,,,,,0,?,Sample conditions ID,Pointer to '_Sample_condition_list.ID',?,?,Y,Y,N,N,N,N,_Sample_condition_list.ID,?,_Sample_condition_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_list,Sample_condition_list_ID,?,?,?,?,Y,N,int
10710,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Sample_condition_list_label,,X,,,,Y,Y,Y,Y,Y,Y,N,,sample_conditions,_Sample_condition_list.Sf_framecode,,,Sample condition list label,VARCHAR(127),NOT NULL,,CouplingConstantList,SampleConditionListLabel,N,N,,,,,,,,,N,3270,,9,,,,0,?,Sample conditions label,Pointer to a saveframe of the category sample_conditions.,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Coupling_constant_list,Sample_condition_list_label,?,?,?,?,Y,N,code
10720,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Spectrometer_frequency_1H,,MC,,,,Y,Y,Y,Y,Y,Y,N,,,,,,Spectrometer frequency 1H,FLOAT,NOT NULL,,CouplingConstantList,SpectrometerFrequency1H,N,N,,,,,,,,,N,3280,,,,,,0,600.1283731,Spectrometer frequency 1H,The operating proton frequency in MHz of the NMR spectrometer used to collect the data.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Coupling_constant_list,Spectrometer_frequency_1H,?,?,?,?,Y,N,int
10730,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Data_file_name,,,,,,Y,Y,H,H,H,H,N,,Upload data,_Upload_data.Data_file_name,,,Data file name,VARCHAR(127),,,CouplingConstantList,DataFileName,N,N,,,,,,,,,N,3290,,19,,,,0,?,Deposited data file name,The name of the file submitted with this depostion that contains the quantitative data for this saveframe.,?,?,Y,Y,N,N,N,N,?,?,?,I,R,R,I,R,R,I,R,R,O,O,O,?,1,Coupling_constant_list,Data_file_name,?,?,?,?,Y,N,name
10740,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Text_data_format,,X,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data format,VARCHAR(31),,,CouplingConstantList,TextDataFormat,N,N,,,,,,,,,N,3300,,,,,,0,?,Text data format,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_list,Text_data_format,?,?,?,?,Y,N,line
10750,coupling_constants,N,R,5,NMR_parameters,172,Coupling constants,_Coupling_constant_list.Text_data,,X,,,,Y,H,Y,Y,Y,Y,N,,,,,,Text data,TEXT,,,CouplingConstantList,TextData,N,N,,,,,,,,,N,3310,,,,,,0,?,Text data,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_list,Text_data,?,?,?,?,N,N,code
10760,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Software_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Software ID,CHAR(12),NOT NULL,,CouplingConstantSoftwareApps,SoftwareID,N,N,,Y,,Software,ID,,,,Y,10,,,,,,7,?,Software ID,Pointer to '_Software.ID',?,?,Y,Y,N,N,N,Y,_Software.ID,?,_Software.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_software_apps,Software_ID,Y,?,?,?,Y,N,int
10770,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Software_label,,X,,,,Y,N,H,H,H,H,N,,software,_Software.Sf_framecode,,,Software label,VARCHAR(127),NOT NULL,,CouplingConstantSoftwareApps,SoftwareLabel,N,N,,,,,,,,,Y,20,,11,,,,0,?,Software label,Pointer to a saveframe of the category software.,?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Coupling_constant_software_apps,Software_label,?,?,?,?,Y,N,code
10780,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Method_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Method ID,CHAR(12),,,CouplingConstantSoftwareApps,MethodID,N,N,,,,Method,ID,,,,Y,30,,,,,,7,?,Method ID,Pointer to '_Method.ID',?,?,Y,Y,N,N,N,N,_Method.ID,?,_Method.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_software_apps,Method_ID,?,?,?,?,Y,N,code
10790,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Method_label,,X,,,,Y,N,H,H,H,H,N,,,,,,Method label,VARCHAR(127),,,CouplingConstantSoftwareApps,MethodLabel,N,N,,,,,,,,,Y,40,,12,,,,0,?,Method label,Pointer to a saveframe of the category method.,?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Coupling_constant_software_apps,Method_label,?,?,?,?,Y,N,uchar3
10800,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,CouplingConstantSoftwareApps,SfID,N,Y,,Y,,Coupling_constant_list,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Coupling_constant_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Coupling_constant_list.Sf_ID,?,_Coupling_constant_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Coupling_constant_software_apps,Sf_ID,?,?,?,?,Y,N,uchar3
10810,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,CouplingConstantSoftwareApps,EntryID,N,N,,,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,O,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_software_apps,Entry_ID,?,?,?,?,Y,N,uchar3
10820,coupling_constants,N,T6,5,NMR_parameters,172,Software,_Coupling_constant_software_apps.Coupling_constant_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Coupling constant list ID,CHAR(12),NOT NULL,,CouplingConstantSoftwareApps,CouplingConstantListID,N,N,,,,Coupling_constant_list,ID,,,,Y,70,,,,,,5,?,n/a,Pointer to '_Coupling_constant_list.ID',?,?,Y,Y,N,N,N,N,_Coupling_constant_list.ID,?,_Coupling_constant_list.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_software_apps,Coupling_constant_list_ID,Y,?,?,?,Y,N,uchar3
10830,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.NMR_spec_expt_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,NMR spec expt ID,CHAR(12),,,CouplingConstantExperiment,NMRSpecExptID,N,N,,,,NMR_spec_expt,ID,,,,Y,10,,,,,,7,?,Experiment ID,Pointer to '_NMR_spec_expt.ID',?,?,Y,Y,N,N,N,Y,_NMR_spec_expt.ID,?,_NMR_spec_expt.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant_experiment,NMR_spec_expt_ID,?,?,?,?,Y,N,text
10840,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.NMR_spec_expt_label,,X,,,,Y,N,H,H,H,H,N,,,,,,NMR spec expt label,VARCHAR(127),,,CouplingConstantExperiment,NMRSpecExptLabel,N,N,,,,,,,,,Y,20,,10,,,,0,?,Experiment label,Pointer to a saveframe of the category NMR spectrometer experiment.,?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Coupling_constant_experiment,NMR_spec_expt_label,?,?,?,?,Y,N,line
10850,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Sample_ID,,M,,,,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,CouplingConstantExperiment,SampleID,N,N,,Y,,Sample,ID,,,,Y,30,,,,,,7,?,Sample ID,Pointer to '_Sample.ID',?,?,Y,Y,N,N,N,N,_Sample.ID,?,_Sample.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_experiment,Sample_ID,Y,?,?,?,Y,N,float
10860,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Sample_label,,X,,,,Y,Y,H,H,H,H,N,,sample,_Sample.Sf_framecode,,,Sample label,VARCHAR(127),NOT NULL,,CouplingConstantExperiment,SampleLabel,N,N,,,,,,,,,Y,40,,8,,,,0,?,Sample label,Pointer to a saveframe of the category sample.,?,?,Y,Y,N,N,Y,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,1,Coupling_constant_experiment,Sample_label,?,?,?,?,Y,N,code
10870,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Sample_state,,MC,Y,,,Y,Y,H,H,H,H,N,,,,,,Sample state,VARCHAR(31),,,CouplingConstantExperiment,SampleState,N,N,,Y,,,,,,,Y,50,,,,,,0,?,Sample state,Physical state of the sample either anisotropic or isotropic.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,R,R,R,R,R,R,R,R,R,isotropic,1,Coupling_constant_experiment,Sample_state,Y,?,?,?,Y,N,line
10880,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,CouplingConstantExperiment,SfID,N,Y,,Y,,Coupling_constant_list,Sf_ID,,,,Y,60,,,,,,4,?,n/a,Pointer to '_Coupling_constant_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Coupling_constant_list.Sf_ID,?,_Coupling_constant_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Coupling_constant_experiment,Sf_ID,?,?,?,?,Y,N,code
10890,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,CouplingConstantExperiment,EntryID,N,N,,,,Entry,ID,,,,Y,70,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_experiment,Entry_ID,?,?,?,?,Y,N,code
10900,coupling_constants,N,T6,5,NMR_parameters,172,NMR experiments and samples,_Coupling_constant_experiment.Coupling_constant_list_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Coupling constant list ID,VARCHAR(127),NOT NULL,,CouplingConstantExperiment,CouplingConstantListID,N,N,,,,Coupling_constant_list,ID,,,,Y,80,,,,,,5,?,n/a,Pointer to '_Coupling_constant_list.ID',?,?,Y,Y,N,N,N,N,_Coupling_constant_list.ID,?,_Coupling_constant_list.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant_experiment,Coupling_constant_list_ID,Y,?,?,?,Y,N,int
10910,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.ID,,X,,,,N,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,CouplingConstant,CouplingConstantID,Y,N,,Y,,,,,,,Y,10,,,,,,6,?,n/a,?,?,?,Y,Y,N,N,N,Y,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,ID,Y,?,?,?,N,N,line
10920,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Code,,X,,,,N,H,Y,Y,Y,Y,N,,,,,,Code,VARCHAR(31),NOT NULL,,CouplingConstant,Code,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,A code that defines the atoms involved in the coupling constant and the number of bonds between the named atoms.  The code is generated on the basis of the standard nomenclature for coupling constants used in the NMR community.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Code,?,?,?,?,N,N,line
10930,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Entry_atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 1,CHAR(12),,,CouplingConstant,EntryAtomID1,N,N,,,,Atom,Entry_atom_ID,,,,Y,30,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant,Entry_atom_ID_1,?,?,?,?,N,N,float
10940,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Entity_assembly_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 1,CHAR(12),NOT NULL,,CouplingConstant,EntityAssemblyID1,N,N,,,,Entity_assembly,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,Y,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Entity_assembly_ID_1,?,?,?,?,N,N,line
10950,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Entity_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Entity ID 1,CHAR(12),NOT NULL,,CouplingConstant,EntityID1,N,N,,,,Entity,ID,,,,Y,50,,,,,,0,?,n/a,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,Y,_Entity.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Entity_ID_1,?,?,?,?,N,N,line
10960,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Comp_index_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp index ID 1,CHAR(12),NOT NULL,,CouplingConstant,CompIndexID1,N,N,,,,Entity_comp_index,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,Y,_Entity_comp_index.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Comp_index_ID_1,?,?,?,?,N,N,line
10970,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Seq_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Seq ID 1,INTEGER,NOT NULL,,CouplingConstant,SeqID1,N,N,,,,Entity_poly_seq,Num,,,,Y,70,,,,,,0,?,n/a,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,Y,_Entity_poly_seq.Num,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Seq_ID_1,?,?,?,?,N,N,line
10980,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Comp_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Comp ID 1,CHAR(12),NOT NULL,,CouplingConstant,CompID1,N,N,,,,Chem_comp,ID,,,,Y,80,,,,,,0,?,n/a,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,Y,_Chem_comp.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Comp_ID_1,?,?,?,?,N,N,line
10990,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Atom_ID_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom ID 1,CHAR(12),NOT NULL,,CouplingConstant,AtomID1,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,Y,_Chem_comp_atom.Atom_ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Atom_ID_1,?,?,?,?,N,N,float
11000,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Atom_type_1,,X,,,,N,H,H,H,H,H,N,,,,,,Atom type 1,VARCHAR(15),NOT NULL,,CouplingConstant,AtomType1,N,N,,,,,,,,,Y,100,,,,,,0,?,n/a,Standard symbol used to define the atom element type.,?,?,Y,Y,N,N,N,N,?,?,?,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Atom_type_1,?,?,?,?,N,N,code
11010,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Ambiguity_code_1,,X,,,,N,H,H,H,H,H,N,,,,,,Ambiguity code 1,VARCHAR(127),,,CouplingConstant,AmbiguityCode1,N,N,,,,,,,,,Y,110,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant,Ambiguity_code_1,?,?,?,?,N,N,line
11020,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Entry_atom_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entry atom ID 2,CHAR(12),,,CouplingConstant,EntryAtomID2,N,N,,,,Atom,Entry_atom_ID,,,,Y,120,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,I,O,O,O,O,O,O,O,O,O,?,0,Coupling_constant,Entry_atom_ID_2,?,?,?,?,N,N,line
11030,coupling_constants,N,T6,5,NMR_parameters,172,Coupling constant,_Coupling_constant.Entity_assembly_ID_2,,X,,,,N,H,H,H,H,H,N,,,,,,Entity assembly ID 2,CHAR(12),NOT NULL,,CouplingConstant,EntityAssemblyID2,N,N,,,,Entity_assembly,ID,,,,Y,130,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,Y,_Entity_assembly.ID,R,R,I,R,R,R,R,R,R,R,R,R,?,0,Coupling_constant,Entity_assembly_ID_2,?,?,?,?,N,N,float
