Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,BMRB/CCPN status,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Loopflag,Seq,Dbspace,Example,Prompt,Description
5890,chem_comp,N,T6,3,molecular_system,90, Chem comp citation,_Chem_comp_citation.Citation_ID,,O,,,open,Y,N,H,H,H,H,N,,,,,,Citation ID,CHAR(12),NOT NULL,,ChemCompCitation,CitationID,N,N,,Y,,Citations,CitationID,,Y,30,1,?,?,?
5900,chem_comp,N,T6,3,molecular_system,90, Chem comp citation,_Chem_comp_citation.Citation_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Citation label,VARCHAR(127),,,ChemCompCitation,CitationLabel,N,N,,,,,,,Y,40,1,?,?,?
5910,natural_source,Y,R,3,molecular_system,100, Natural source,_Natural_source.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,NaturalSource,SfCategory,N,N,,Y,,,,,N,1840,1,?,?,?
5920,natural_source,Y,R,3,molecular_system,100, Natural source,_Natural_source.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,NaturalSource,SfFramecode,N,N,,,,,,,N,1850,1,?,?,?
5930,natural_source,Y,R,3,molecular_system,100, Natural source,_Natural_source.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,NaturalSource,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,1860,1,?,?,?
5940,natural_source,Y,R,3,molecular_system,100, Natural source,_Natural_source.Natural_source_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Natural source ID,CHAR(12),NOT NULL,,NaturalSource,NaturalSourceID,N,Y,,Y,,,,,N,1870,1,?,?,?
5950,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,MolNaturalSource,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,?,?
5960,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Natural_source_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Natural source ID,INTEGER,,,MolNaturalSource,NaturalSourceID,N,Y,,Y,,,,,Y,20,1,?,?,?
5970,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Molecule_ID,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,MolNaturalSource,MoleculeID,Y,N,,Y,,Entity,MoleculeID,,Y,30,1,?,?,?
5980,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Mol_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Mol label,VARCHAR(127),,,MolNaturalSource,MolLabel,N,N,,,,,,,Y,40,1,?,?,Provide the label assigned this molecule in Section 4 (values from column 2 of the table where the components of the system are listed).
5990,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Organism_name_common,,M,Y,,open,Y,Y,H,H,H,H,N,,,,,,Organism name common,VARCHAR(127),,,MolNaturalSource,OrganismNameCommon,N,N,,,,,,,Y,50,1,Baker's yeast,?,Common name used for the biological organism.
6000,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Organism_acronym,,X,,,open,Y,N,H,H,H,H,N,,,,,,Organism acronym,VARCHAR(127),,,MolNaturalSource,OrganismAcronym,N,N,,,,,,,Y,60,1,?,?,A common acronym used to identify the organism.
6010,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.ICTVdb_decimal_code,,X,,,open,Y,N,H,H,H,H,N,,,,,,ICTVdb decimal code,VARCHAR(127),,,MolNaturalSource,ICTVdbDecimalCode,N,N,,,,,,,Y,70,1,?,?,ICTV database decimal code for a virus
6020,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.NCBI_taxonomy_ID,,O,,,open,Y,N,H,H,H,H,N,,,,,,NCBI taxonomy ID,INTEGER,,,MolNaturalSource,NCBITaxonomyID,N,N,,,,,,,Y,80,1,?,?,NCBI taxonomy ID
6030,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Superkingdom,,O,,,open,Y,N,H,H,H,H,N,,,,,,Superkingdom,VARCHAR(127),,,MolNaturalSource,Superkingdom,N,N,,,,,,,Y,90,1,Eukaryota,?,Scientific superkingdom classification for an organism as defined by NCBI taxonomists.
6040,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Kingdom,,O,,,open,Y,N,H,H,H,H,N,,,,,,Kingdom,VARCHAR(127),,,MolNaturalSource,Kingdom,N,N,,,,,,,Y,100,1,Metazoa,?,Kingdom classifications for an organism as defined by NCBI taxonomists.
6050,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Genus,,M,Y,,open,Y,Y,H,H,H,H,N,,,,,,Genus,VARCHAR(127),,,MolNaturalSource,Genus,N,N,,,,,,,Y,110,1,Saccharomyces,?,Genus for the natural organism
6060,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Species,,M,Y,,open,Y,Y,H,H,H,H,N,,,,,,Species,VARCHAR(127),,,MolNaturalSource,Species,N,N,,,,,,,Y,120,1,cerevisiae,?,Scientific name for the species of the organism as defined by NCBI taxonomists whenever possible.
6070,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Strain,,O,,,open,Y,N,H,H,H,H,N,,,,,,Strain,VARCHAR(127),,,MolNaturalSource,Strain,N,N,,,,,,,Y,130,1,gm3c2,?,The scientific name for the strain of an organism.
6080,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Variant,,O,,,open,Y,N,H,H,H,H,N,,,,,,Variant,VARCHAR(127),,,MolNaturalSource,Variant,N,N,,,,,,,Y,140,1,BRU isolate,?,Name used to classify the variant of an organism.
6090,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Subvariant,,O,,,open,Y,N,H,H,H,H,N,,,,,,Subvariant,VARCHAR(127),,,MolNaturalSource,Subvariant,N,N,,,,,,,Y,150,1,?,?,Name used to define a subvariant of an organism.
6100,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Organ,,O,Y,,open,Y,N,H,H,H,H,N,,,,,,Organ,VARCHAR(127),,,MolNaturalSource,Organ,N,N,,,,,,,Y,160,1,pancreas,?,?
6110,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Tissue,,O,,,open,Y,N,H,H,H,H,N,,,,,,Tissue,VARCHAR(127),,,MolNaturalSource,Tissue,N,N,,,,,,,Y,170,1,muscle,?,The tissue from an organism that is the natural or experimental source of the molecule.
6120,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Cell_line,,O,,,open,Y,N,H,H,H,H,N,,,,,,Cell line,VARCHAR(127),,,MolNaturalSource,CellLine,N,N,,,,,,,Y,180,1,4-4-20 murine-murine hybridoma,?,Name the specific line of cells used in the experiment.
6130,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Cell_type,,O,,,open,Y,N,H,H,H,H,N,,,,,,Cell type,VARCHAR(127),,,MolNaturalSource,CellType,N,N,,,,,,,Y,190,1,B-lymphocyte,?,Identify the particular kind of cell.
6140,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.ATCC_number,,O,,,open,Y,N,H,H,H,H,N,,,,,,ATCC number,VARCHAR(127),,,MolNaturalSource,ATCCNumber,N,N,,,,,,,Y,200,1,27355,?,Organism culture number defined in the American Type Culture Collection.
6150,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Organelle,,O,,,open,Y,N,H,H,H,H,N,,,,,,Organelle,VARCHAR(127),,,MolNaturalSource,Organelle,N,N,,,,,,,Y,210,1,mitochondria,?,Organized structure within a cell.
6160,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Fraction,,O,,,open,Y,N,H,H,H,H,N,,,,,,Fraction,VARCHAR(127),,,MolNaturalSource,Fraction,N,N,,,,,,,Y,220,1,cytoplasm,?,Indicate cellular location here such as cytoplasm periplasm extracellular etc.
6170,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Secretion,,O,,,open,Y,N,H,H,H,H,N,,,,,,Secretion,VARCHAR(127),,,MolNaturalSource,Secretion,N,N,,,,,,,Y,230,1,venom,?,If the molecule was isolated from a particular secretion such as saliva urine or venom this is stated here.
6180,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Plasmid,,MC,,,open,Y,N,H,H,H,H,N,,,,,,Plasmid,VARCHAR(127),,,MolNaturalSource,Plasmid,N,N,,,,,,,Y,240,1,PPED5-399,?,The name for a plasmid that naturally contains the gene for the biopolymer.
6190,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Gene_mnemonic,,O,,,open,Y,N,H,H,H,H,N,,,,,,Gene mnemonic,VARCHAR(127),,,MolNaturalSource,GeneMnemonic,N,N,,,,,,,Y,250,1,tmoC,?,Name of the gene that is the source of the biopolymer
6200,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,MolNaturalSource,Details,N,N,,,,,,,Y,260,1,German collection of microorganisms (DSM),?,Give any other remarks or comments on the biological source which may be relevant.
6210,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Citation_ID,,O,,,open,Y,N,H,H,H,H,N,,,,,,Citation ID,CHAR(12),NOT NULL,,MolNaturalSource,CitationID,N,N,,,,Citations,CitationID,,Y,270,1,?,?,?
6220,natural_source,Y,T6,3,molecular_system,100, Mol natural source,_Mol_natural_source.Citation_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Citation label,VARCHAR(127),,,MolNaturalSource,CitationLabel,N,N,,,,,,,Y,280,1,?,?,?
6230,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,NaturalSourceDb,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,?,?
6240,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Natural_source_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Natural source ID,INTEGER,,,NaturalSourceDb,NaturalSourceID,N,Y,,Y,,,,,Y,20,1,?,?,?
6250,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Molecule_ID,,SC,,,open,Y,N,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,NaturalSourceDb,MoleculeID,N,N,,Y,,Entity,MoleculeID,,Y,30,1,?,?,Unique integer value assigned to the chemical molecule.
6260,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.DB_code,,SC,Y,,open,Y,N,H,H,H,H,N,,,,,,DB code,VARCHAR(31),,,NaturalSourceDb,DBCode,N,N,,Y,,,,,Y,40,1,TAIR,?,Code or abbreviation used by a database organization.
6270,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.DB_type,,X,,,open,Y,N,H,H,H,H,N,,,,,,DB type,VARCHAR(31),,,NaturalSourceDb,DBType,N,N,,,,,,,Y,50,1,?,?,?
6280,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.BMRB_ID,,X,,,open,Y,N,H,H,H,H,N,,,,,,BMRB ID,INTEGER,NOT NULL,,NaturalSourceDb,BMRBID,N,N,,,,,,,Y,60,1,?,?,?
6290,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Entry_code,,SC,Y,,open,Y,N,H,H,H,H,N,,,,,,Entry code,VARCHAR(127),,,NaturalSourceDb,EntryCode,N,N,,Y,,,,,Y,70,1,?,?,?
6300,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Entry_type,X,O,,,open,Y,N,Y,Y,Y,Y,N,,,,,,Entry type,VARCHAR(31),NOT NULL,,NaturalSourceDb,EntryType,N,N,,,,,,,Y,80,1,original,?,Defines whether the current version of the entry is the original version or an updated version.
6310,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.ORF_code,,SC,Y,,open,Y,N,H,H,H,H,N,,,,,,ORF code,VARCHAR(127),,,NaturalSourceDb,ORFCode,N,N,,,,,,,Y,90,1,at1g01020,?,Code assigned to the open reading frame coding for a protein or nucleic acid.
6320,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Gene_locus_code,,O,,,open,Y,N,H,H,H,H,N,,,,,,Gene locus code,VARCHAR(127),,,NaturalSourceDb,GeneLocusCode,N,N,,,,,,,Y,100,1,?,?,?
6330,natural_source,Y,T6,3,molecular_system,100, Natural source db,_Natural_source_db.Gene_cDNA_code,,O,,,open,Y,N,H,H,H,H,N,,,,,,Gene cDNA code,VARCHAR(127),,,NaturalSourceDb,GeneCDNACode,N,N,,,,,,,Y,110,1,?,?,?
6340,experimental_source,Y,R,3,molecular_system,120, Experimental sources,_Experimental_sources.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,ExperimentalSources,SfCategory,N,N,,Y,,,,,N,1880,1,?,?,?
6350,experimental_source,Y,R,3,molecular_system,120, Experimental sources,_Experimental_sources.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,ExperimentalSources,SfFramecode,N,N,,,,,,,N,1890,1,?,?,?
6360,experimental_source,Y,R,3,molecular_system,120, Experimental sources,_Experimental_sources.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ExperimentalSources,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,1900,1,?,?,?
6370,experimental_source,Y,R,3,molecular_system,120, Experimental sources,_Experimental_sources.Exptl_source_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Exptl source ID,CHAR(12),NOT NULL,,ExperimentalSources,ExptlSourceID,N,Y,,Y,,,,,N,1910,1,?,?,?
6380,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,ExperimentalSource,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,?,?
6390,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Exptl_source_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Exptl source ID,INTEGER,,,ExperimentalSource,ExptlSourceID,N,Y,,Y,,,,,Y,20,1,?,?,?
6400,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Molecule_ID,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,ExperimentalSource,MoleculeID,Y,N,,Y,,Entity,MoleculeID,,Y,30,1,?,?,?
6410,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Mol_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Mol label,VARCHAR(127),,,ExperimentalSource,MolLabel,N,N,,,,,,,Y,40,1,p53 monomer,?,?
6420,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Production_method,,M,Y,,open,Y,Y,H,H,H,H,N,Y,N,,,,Production method,VARCHAR(127),,,ExperimentalSource,ProductionMethod,N,N,,,,,,,Y,50,1,recombinant technology,?,Method used to obtain the molecule
6430,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Host_organism_name_common,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Host organism name common,VARCHAR(127),,,ExperimentalSource,HostOrganismNameCommon,N,N,,,,,,,Y,60,1,E. coli,?,Common name for the organism used as a host in producing a biopolymer.
6440,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Host_organism_details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Host organism details,TEXT,,,ExperimentalSource,HostOrganismDetails,N,N,,,,,,,Y,70,1,?,?,?
6450,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Genus,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Genus,VARCHAR(127),,,ExperimentalSource,Genus,N,N,,,,,,,Y,80,1,Escherichia,?,Genus of the host organism
6460,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Species,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Species,VARCHAR(127),,,ExperimentalSource,Species,N,N,,,,,,,Y,90,1,coli,?,Scientific name for the species of the organism as defined by NCBI taxonomists whenever possible.
6470,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Strain,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Strain,VARCHAR(127),,,ExperimentalSource,Strain,N,N,,,,,,,Y,100,1,K12,?,The scientific name for the strain of an organism.
6480,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Variant,,O,,,open,Y,N,H,H,H,H,N,,,,,,Variant,VARCHAR(127),,,ExperimentalSource,Variant,N,N,,,,,,,Y,110,1,?,?,Name used to classify the variant of an organism.
6490,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Organ,,O,,,open,Y,N,H,H,H,H,N,,,,,,Organ,VARCHAR(127),,,ExperimentalSource,Organ,N,N,,,,,,,Y,120,1,?,?,Cell lines used as hosts in producing macromolecules often originate from a particular organ (e.g. chinese hamster ovary cells).  If this is true for the system used in this study please enter the name of the organ that was the source for the cell line used.
6500,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Tissue,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Tissue,VARCHAR(127),,,ExperimentalSource,Tissue,N,N,,,,,,,Y,130,1,?,?,The tissue from an organism that is the natural or experimental source of the molecule.
6510,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Cell_line,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Cell line,VARCHAR(127),,,ExperimentalSource,CellLine,N,N,,,,,,,Y,140,1,?,?,The name for the cell line used in producing the biopolymer.
6520,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Cell_type,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Cell type,VARCHAR(127),,,ExperimentalSource,CellType,N,N,,,,,,,Y,150,1,?,?,Specific type of cell if used to produce the biopolymer.
6530,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.ATCC_number,,O,,,open,Y,N,H,H,H,H,N,,,,,,ATCC number,VARCHAR(127),,,ExperimentalSource,ATCCNumber,N,N,,,,,,,Y,160,1,27355,?,Organism culture number defined in the American Type Culture Collection.
6540,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Vector_type,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Vector type,VARCHAR(127),,,ExperimentalSource,VectorType,N,N,,,,,,,Y,170,1,'plasmid',?,The kind of biological object used to insert a gene into a host organism for the production of a biological molecule studied in the entry.
6550,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Vector_name,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Vector name,VARCHAR(127),,,ExperimentalSource,VectorName,N,N,,,,,,,Y,180,1,?,?,Name given to the vector used to insert a gene into a host organism.
6560,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Vector_details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Vector details,TEXT,,,ExperimentalSource,VectorDetails,N,N,,,,,,,Y,190,1,?,?,Text comments regarding the vector used to produce the biopolymer.
6570,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Vendor_name,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Vendor name,VARCHAR(127),,,ExperimentalSource,VendorName,N,N,,,,,,,Y,200,1,Aldrich,?,Commercial or academic vendor that supplied the defined item.
6580,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Gene_source,,O,,,open,Y,N,H,H,H,H,N,,,,,,Gene source,VARCHAR(127),,,ExperimentalSource,GeneSource,N,N,,,,,,,Y,210,1,?,?,?
6590,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,ExperimentalSource,Details,N,N,,,,,,,Y,220,1,?,?,Additional information relevant to the data in the current saveframe or to a specific data item is entered as a value to this tag.  The information entered must supplement information already present.  Whenever possible data should associated with specific data tags and not included in the value to a '_Details' tag.
6600,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Citation_ID,,O,,,open,Y,N,H,H,H,H,N,,,,,,Citation ID,CHAR(12),NOT NULL,,ExperimentalSource,CitationID,N,N,,,,Citations,CitationID,,Y,230,1,?,?,?
6610,experimental_source,Y,T6,3,molecular_system,120, Experimental source,_Experimental_source.Citation_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Citation label,VARCHAR(127),,,ExperimentalSource,CitationLabel,N,N,,,,,,,Y,240,1,?,?,?
6620,sample,Y,R,4,experimental_details,130, Sample,_Sample.Sf_category,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),,,Sample,SfCategory,N,N,,Y,,,,,N,1920,1,?,?,?
6630,sample,Y,R,4,experimental_details,130, Sample,_Sample.Sf_framecode,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),,,Sample,SfFramecode,N,N,,,,,,,N,1930,1,?,?,?
6640,sample,Y,R,4,experimental_details,130, Sample,_Sample.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,Sample,EntryID,N,N,,Y,,EntryInformation,EntryID,,N,1940,1,?,?,?
6650,sample,Y,R,4,experimental_details,130, Sample,_Sample.Sample_ID,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,Sample,SampleID,N,Y,Y,Y,,,,,N,1950,1,?,?,?
6660,sample,Y,R,4,experimental_details,130, Sample,_Sample.Type,,M,Y,,open,Y,Y,H,H,H,H,N,,,,,,Type,VARCHAR(127),,,Sample,Type,N,N,,,,,,,N,1960,1,solution,?,Tag values give a description of the overall state or characteristic of the sample identified in each category 'sample' saveframe.
6670,sample,Y,R,4,experimental_details,130, Sample,_Sample.Details,,O,,,open,Y,N,H,H,H,H,N,,,,,,Details,TEXT,,,Sample,Details,N,N,,,,,,,N,1970,1,The added glycerol was used to raise the viscosity of the solution to 1.05 poisson.,?,Other information$ or comments concerning the sample can be entered here
6680,sample,Y,R,4,experimental_details,130, Sample,_Sample.Aggregate_sample_number,,MC,Y,,open,Y,N,H,H,H,H,N,,,,,,Aggregate sample number,VARCHAR(127),,,Sample,AggregateSampleNumber,N,N,,,,,,,N,1980,1,3,?,The number of samples over which the reported contents apply.
6690,sample,Y,R,4,experimental_details,130, Sample,_Sample.Preparation_date,,O,,,open,N,N,Y,Y,Y,N,N,,,,,,Preparation date,VARCHAR(127),,,Sample,PreparationDate,N,N,,,,,,,N,1990,1,?,?,?
6700,sample,Y,R,4,experimental_details,130, Sample,_Sample.Preparation_expiration_date,,O,,,open,N,N,Y,Y,Y,N,N,,,,,,Preparation expiration date,VARCHAR(127),,,Sample,PreparationExpirationDate,N,N,,,,,,,N,2000,1,?,?,?
6710,sample,Y,R,4,experimental_details,130, Sample,_Sample.Preparation_protocol,,O,Y,MC,open,N,N,Y,Y,Y,N,N,,,,,,Preparation protocol,VARCHAR(127),,,Sample,PreparationProtocol,N,N,,,,,,,N,2010,1,?,?,?
6720,sample,Y,R,4,experimental_details,130, Sample,_Sample.Preparation_protocol_file_name,,O,,MC,open,N,N,Y,Y,Y,N,N,,,,,,Preparation protocol file name,VARCHAR(127),,,Sample,PreparationProtocolFileName,N,N,,,,,,,N,2020,1,?,?,?
6730,sample,Y,R,4,experimental_details,130, Sample,_Sample.Preparation_protocol_file_location,,O,,MC,open,N,N,Y,Y,Y,N,N,,,,,,Preparation protocol file location,VARCHAR(127),,,Sample,PreparationProtocolFileLocation,N,N,,,,,,,N,2030,1,?,?,?
6740,sample,Y,R,4,experimental_details,130, Sample,_Sample.Storage_protocol,,O,,,open,N,N,Y,Y,Y,N,N,,,,,,Storage protocol,VARCHAR(127),,,Sample,StorageProtocol,N,N,,,,,,,N,2040,1,?,?,?
6750,sample,Y,T6,4,experimental_details,130, Sample development,_Sample_development.Entry_ID,,X,,,open,H,H,H,H,H,N,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SampleDevelopment,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,?,?
6760,sample,Y,T6,4,experimental_details,130, Sample development,_Sample_development.Sample_ID,,X,,,open,H,H,H,H,H,N,N,,,,,,Sample ID,CHAR(12),NOT NULL,,SampleDevelopment,SampleID,N,Y,,,,Sample,SampleID,,Y,20,1,?,?,?
6770,sample,Y,T6,4,experimental_details,130, Sample development,_Sample_development.Experiment_ID,,O,,,open,H,N,H,H,H,N,N,,,,,,Experiment ID,INTEGER,,,SampleDevelopment,ExperimentID,N,N,,,,,,,Y,30,1,?,?,?
6780,sample,Y,T6,4,experimental_details,130, Sample development,_Sample_development.Experiment_label,,X,,,open,N,H,Y,Y,Y,N,N,,,,,,Experiment label,VARCHAR(127),,,SampleDevelopment,ExperimentLabel,N,N,,,,,,,Y,40,1,?,?,?
6790,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Entry_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SampleComponent,EntryID,N,N,,Y,,EntryInformation,EntryID,,Y,10,1,?,?,?
6800,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Sample_ID,,X,,,open,Y,H,H,H,H,H,N,,,,,,Sample ID,CHAR(12),NOT NULL,,SampleComponent,SampleID,N,Y,,Y,,Sample,SampleID,,Y,20,1,?,?,?
6810,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Mol_common_name,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Mol common name,VARCHAR(127),,,SampleComponent,MolCommonName,N,N,,Y,,,,,Y,30,1,?,?,?
6820,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Molecule_ID,,M,,,open,Y,Y,H,H,H,H,N,,,,,,Molecule ID,CHAR(12),NOT NULL,,SampleComponent,MoleculeID,N,N,,Y,,Entity,MoleculeID,,Y,40,1,?,?,?
6830,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Mol_label,,X,,,open,Y,H,H,H,H,H,N,,,,,,Mol label,VARCHAR(127),,,SampleComponent,MolLabel,N,N,,,,,,,Y,50,1,?,?,For biopolymers in the study enter the label assigned in Section 4 (e.g. cyt c553).  For other molecules in the sample provide a common name (e.g. potassium phosphate).
6840,sample,Y,T6,4,experimental_details,130, Sample component,_Sample_component.Type,,O,,,open,Y,N,H,H,H,H,N,,,,,,Type,VARCHAR(127),,,SampleComponent,Type,N,N,,,,,,,Y,60,1,?,?,?
