Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,BMRB next release,Discussion List,SG Mandatory,,ADIT exists,User full view,User structure view,User non-structure view,User NMR param. View,Annotator full view,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,DbSpace,Example,Prompt,Description,STAR-CIF link ID,STAR to CIF transform code,STAR flag,DB flag,SfLabelFlg,Sf category flag,Framecode value flag,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,sg/public,sg/internal,usr/public,usr/internal,Overide publiM,Overide internal,Overide sg/publiM,Overide sg/internal,Overide usr/publiM,Overide usr/internal,default value,Adit form code,Tag category,Tag field,Local key
4850,assembly,Y,T6,3,assembly_supercategory,50,Biological function,_Assembly_bio_function.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AssemblyBioFunction,EntryID,N,N,,,,Entry,ID,,,,Y,20,2,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_bio_function,Entry_ID,?
4860,assembly,Y,T6,3,assembly_supercategory,50,Biological function,_Assembly_bio_function.Assembly_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly ID,CHAR(12),NOT NULL,,AssemblyBioFunction,AssemblyID,N,N,,,,Assembly,ID,,,,Y,30,2,,,,,1,?,n/a,Pointer to '_Assembly.ID',?,?,Y,Y,N,N,N,Y,_Assembly.ID,?,_Assembly.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_bio_function,Assembly_ID,Y
4870,assembly,Y,T6,3,assembly_supercategory,50,Biological function,_Assembly_bio_function.Biological_function,,O,Y,,,Y,N,H,H,H,H,N,,,,,,Biological function,VARCHAR(127),NOT NULL,,AssemblyBioFunction,BiologicalFunction,N,N,,Y,,,,,,,Y,40,2,,,,,0,?,Biological function,Very brief description of the biological function of the entity assembly.,?,?,Y,Y,N,N,N,Y,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Assembly_bio_function,Biological_function,Y
4880,assembly,Y,T6,3,assembly_supercategory,50,Assembly citation,_Assembly_citation.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,AssemblyCitation,SfID,N,Y,,Y,,Assembly,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Assembly.Sf_ID',?,?,Y,Y,N,N,N,N,_Assembly.Sf_ID,?,_Assembly.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Assembly_citation,Sf_ID,?
4890,assembly,Y,T6,3,assembly_supercategory,50,Assembly citation,_Assembly_citation.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AssemblyCitation,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_citation,Entry_ID,?
4900,assembly,Y,T6,3,assembly_supercategory,50,Assembly citation,_Assembly_citation.Assembly_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly ID,INTEGER,NOT NULL,,AssemblyCitation,AssemblyID,N,N,,,,Assembly,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Assembly.ID',?,?,Y,Y,N,Y,N,N,_Assembly.ID,?,_Assembly.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_citation,Assembly_ID,Y
4910,assembly,Y,T6,3,assembly_supercategory,50,Assembly citation,_Assembly_citation.Citation_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Citation ID,CHAR(12),NOT NULL,,AssemblyCitation,CitationID,N,N,,Y,,Citation,ID,,,,Y,40,,,,,,0,?,n/a,Pointer to '_Citation.ID',?,?,Y,Y,N,N,N,N,_Citation.ID,?,_Citation.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_citation,Citation_ID,Y
4920,assembly,Y,T6,3,assembly_supercategory,50,Assembly citation,_Assembly_citation.Citation_label,,O,,,,Y,N,H,H,H,H,N,,,,,,Citation label,VARCHAR(127),NOT NULL,,AssemblyCitation,CitationLabel,N,N,,,,,,,,,Y,50,,,,,,0,?,Citation label,Pointer to a saveframe of the category citation.,?,?,Y,Y,N,N,Y,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,1,Assembly_citation,Citation_label,?
4930,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,AssemblyAnnotation,SfCategory,N,N,,,,,,,,,N,1680,,,,,,1,?,Sf category,Category assigned to the information in the saveframe.,?,?,Y,Y,N,Y,N,N,,?,?,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_annotation,Sf_category,?
4940,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,AssemblyAnnotation,SfFramecode,N,N,,,,,,,,,N,1690,,,,,,1,?,Assembly annotation list label,The framecode for the save frame where author defined annotations for the molecular assembly studied are provided.,?,?,Y,Y,Y,N,N,N,,?,?,I,I,I,R,I,R,I,R,I,R,I,R,?,0,Assembly_annotation,Sf_framecode,?
4950,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AssemblyAnnotation,EntryID,N,N,,,,,_Entry.ID,,,,N,1700,,,,,,1,?,Entry ID,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,Y,_Entry.ID,?,_Entry.ID,O,R,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_annotation,Entry_ID,?
4960,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,,AssemblyAnnotation,SfID,N,Y,Y,Y,,,,,,,N,1710,,,,,,1,?,Mol system annotation ID,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Assembly_annotation,Sf_ID,?
4970,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.ID,,X,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,AssemblyAnnotation,AssemblyAnnotationID,N,N,Y,,,,,,,,N,1720,,,,,,1,?,n/a,?,?,?,Y,Y,N,N,N,Y,,?,?,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_annotation,ID,?
4980,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Annotation_source,,O,,,,Y,H,H,H,H,H,N,,,,,,Annotation source,VARCHAR(127),NOT NULL,,AssemblyAnnotation,AnnotationSource,N,N,,,,,,,,,N,1730,,,,,,1,?,Annotation source,?,?,?,Y,Y,N,N,N,N,,?,?,O,O,C,C,C,C,C,C,C,C,C,C,?,0,Assembly_annotation,Annotation_source,?
4990,assembly_annotation,H,R,3,assembly_supercategory,60,Assembly annotation,_Assembly_annotation.Details,,O,,,,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,AssemblyAnnotation,Details,N,N,,,,,,,,,N,1740,,,,,,1,?,Details,?,?,?,Y,Y,N,N,N,N,,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_annotation,Details,?
5000,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,AuthorAnnotation,SfID,N,Y,,Y,,Assembly_annotation_list,Sf_ID,,,,Y,10,,,,,,1,?,Entry ID,Pointer to '_Assembly_annotation_list.Sf_ID',?,?,Y,Y,N,N,N,N,_Assembly_annotation.Sf_ID,?,_Assembly_annotation_list.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Author_annotation,Sf_ID,?
5010,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AuthorAnnotation,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,Entry ID,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Entry_ID,?
5020,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Assembly_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly ID,CHAR(12),NOT NULL,,AuthorAnnotation,AssemblyID,N,N,,,,Assembly,ID,,,,Y,30,,,,,,1,?,Mol system annotation ID,Pointer to '_Assembly.ID',?,?,Y,Y,N,N,N,N,_Assembly.ID,?,_Assembly.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Assembly_ID,?
5030,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Author_annotation_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Author annotation ID,CHAR(12),NOT NULL,,AuthorAnnotation,AuthorAnnotationID,N,N,Y,Y,,,,,,,Y,40,,,,,,1,?,Author annotation ID,?,?,?,Y,Y,N,N,N,Y,,?,?,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Author_annotation_ID,?
5040,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Assembly_subsystem_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Assembly subsystem ID,CHAR(12),,,AuthorAnnotation,AssemblySubsystemID,N,N,,,,,,,,,Y,50,,,,,,0,?,Mol subsystem ID,?,?,?,Y,Y,N,N,N,N,_Assembly_subsystem.ID,?,_Assembly_subsystem.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Assembly_subsystem_ID,?
5050,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Entity_assembly_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Entity assembly ID,CHAR(12),NOT NULL,,AuthorAnnotation,EntityAssemblyID,N,N,,,,Entity_assembly,ID,,,,Y,60,,,,,,0,?,n/a,Pointer to '_Entity_assembly.ID',?,?,Y,Y,N,N,N,N,_Entity_assembly.ID,?,_Entity_assembly.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Entity_assembly_ID,?
5060,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Entity_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Entity ID,CHAR(12),NOT NULL,,AuthorAnnotation,EntityID,N,N,,,,Entity,ID,,,,Y,70,,,,,,0,?,Entity ID,Pointer to '_Entity.ID',?,?,Y,Y,N,N,N,N,_Entity.ID,?,_Entity.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Entity_ID,?
5070,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Comp_index_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Comp index ID,CHAR(12),NOT NULL,,AuthorAnnotation,CompIndexID,N,N,,,,Entity_comp_index,ID,,,,Y,80,,,,,,0,?,Chem comp index ID,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Comp_index_ID,?
5080,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Comp_index_ID_start,,O,,,,Y,H,H,H,H,H,N,,,,,,Comp index ID start,CHAR(12),NOT NULL,,AuthorAnnotation,CompIndexIDStart,N,N,,,,Entity_comp_index,ID,,,,Y,90,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Comp_index_ID_start,?
5090,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Comp_index_ID_end,,O,,,,Y,H,H,H,H,H,N,,,,,,Comp index ID end,CHAR(12),NOT NULL,,AuthorAnnotation,CompIndexIDEnd,N,N,,,,Entity_comp_index,ID,,,,Y,100,,,,,,0,?,n/a,Pointer to '_Entity_comp_index.ID',?,?,Y,Y,N,N,N,N,?,?,_Entity_comp_index.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Comp_index_ID_end,?
5100,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Seq_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Seq ID,INTEGER,NOT NULL,,AuthorAnnotation,SeqID,N,N,,,,Entity_poly_seq,Num,,,,Y,110,,,,,,0,?,Chem comp seq num,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Seq_ID,?
5110,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Seq_ID_start,,O,,,,Y,H,H,H,H,H,N,,,,,,Seq ID start,INTEGER,,,AuthorAnnotation,SeqIDStart,N,N,,,,Entity_poly_seq,Num,,,,Y,120,,,,,,0,?,Start chem comp seq num,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Seq_ID_start,?
5120,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Seq_ID_end,,O,,,,Y,H,H,H,H,H,N,,,,,,Seq ID end,INTEGER,,,AuthorAnnotation,SeqIDEnd,N,N,,,,Entity_poly_seq,Num,,,,Y,130,,,,,,0,?,End chem comp seq num,Pointer to '_Entity_poly_seq.Num',?,?,Y,Y,N,N,N,N,?,?,_Entity_poly_seq.Num,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Seq_ID_end,?
5130,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Chem_comp_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Chem comp ID,CHAR(12),,,AuthorAnnotation,ChemCompID,N,N,,,,Chem_comp,ID,,,,Y,140,,,,,,0,?,Comp ID,Pointer to '_Chem_comp.ID',?,?,Y,Y,N,N,N,N,_Chem_comp.ID,?,_Chem_comp.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Chem_comp_ID,?
5140,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Atom_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Atom ID,CHAR(12),,,AuthorAnnotation,AtomID,N,N,,,,Chem_comp_atom,Atom_ID,,,,Y,150,,,,,,0,?,Atom ID,Pointer to '_Chem_comp_atom.Atom_ID',?,?,Y,Y,N,N,N,N,_Chem_comp_atom.Atom_ID,?,_Chem_comp_atom.Atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Atom_ID,?
5150,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Entry_atom_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Entry atom ID,CHAR(12),,,AuthorAnnotation,EntryAtomID,N,N,,,,Atom,Entry_atom_ID,,,,Y,160,,,,,,0,?,n/a,Pointer to '_Atom.Entry_atom_ID',?,?,Y,Y,N,N,N,N,_Atom.Entry_atom_ID,?,_Atom.Entry_atom_ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Author_annotation,Entry_atom_ID,?
5160,assembly_annotation,H,T6,3,assembly_supercategory,60,Author annotation,_Author_annotation.Annotation_code,,O,,,,Y,H,H,H,H,H,N,,,,,,Annotation code,VARCHAR(127),NOT NULL,,AuthorAnnotation,AnnotationCode,N,N,,,,,,,,,Y,170,,,,,,0,?,Annotation code,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Author_annotation,Annotation_code,?
5170,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Sf_category,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf category,VARCHAR(31),NOT NULL,,AssemblySubsystem,SfCategory,N,N,,,,,,,,,N,1750,,,,,,1,?,n/a,Category assigned to the information in the saveframe.,?,?,Y,Y,N,Y,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_subsystem,Sf_category,?
5180,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Sf_framecode,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,AssemblySubsystem,SfFramecode,N,N,,,,,,,,,N,1760,,,,,,1,?,Molecular assembly subsystem label,A descriptive label that uniquely identifies this molecular subsystem from all other subsystems of the molecular assembly studied.,?,?,Y,Y,Y,N,N,N,?,?,?,I,I,I,R,I,R,I,R,I,R,I,R,?,0,Assembly_subsystem,Sf_framecode,?
5190,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,AssemblySubsystem,EntryID,N,N,,,,Entry,ID,,,,N,1770,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_subsystem,Entry_ID,Y
5200,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Sf_ID,,O,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,AssemblySubsystem,SfID,N,Y,Y,Y,,,,,,,N,1780,,,,,,1,?,n/a,An interger value that is the unique identifier for the saveframe that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,N,?,?,?,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Assembly_subsystem,Sf_ID,?
5210,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.ID,,O,,,,Y,H,H,H,H,H,N,,,,,,ID,CHAR(12),NOT NULL,,AssemblySubsystem,AssemblySubsystemID,N,N,Y,,,,,,,,N,1790,,,,,,1,?,Subsystem list ID,?,?,?,Y,Y,N,N,N,Y,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_subsystem,ID,Y
5220,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Name,,O,,,,Y,H,H,H,H,H,N,,,,,,Name,VARCHAR(127),NOT NULL,,AssemblySubsystem,Name,N,N,,,,,,,,,N,1800,,,,,,0,?,Name,?,?,?,Y,Y,N,N,N,N,?,?,?,R,R,R,R,R,R,R,R,R,R,R,R,?,0,Assembly_subsystem,Name,?
5230,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.CAS_name,,O,,,,Y,H,H,H,H,H,N,,,,,,CAS name,VARCHAR(127),,,AssemblySubsystem,CASName,N,N,,,,,,,,,N,1810,,,,,,0,?,CAS name,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,CAS_name,?
5240,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.CAS_registry_number,,O,,,,Y,H,H,H,H,H,N,,,,,,CAS registry number,VARCHAR(127),,,AssemblySubsystem,CASRegistryNumber,N,N,,,,,,,,,N,1820,,,,,,0,?,CAS registry number,?,?,?,Y,Y,N,N,N,N,?,?,_Release.Number,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,CAS_registry_number,?
5250,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Enzyme_commission_number,,O,,,,Y,H,H,H,H,H,N,,,,,,Enzyme commission number,VARCHAR(127),,,AssemblySubsystem,EnzymeCommissionNumber,N,N,,,,,,,,,N,1830,,,,,,0,3.1.3.5.3,Enzyme commission number,Identification number defined by the Enzyme Commission for the protein molecular system$ or biological molecular system described in the saveframe.,?,?,Y,Y,N,N,N,N,?,?,_Release.Number,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,Enzyme_commission_number,?
5260,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Molecular_mass,,O,,,,Y,H,H,H,H,H,N,,,,,,Molecular mass,FLOAT,,,AssemblySubsystem,MolecularMass,N,N,,,,,,,,,N,1840,,,,,,0,24000,Molecular mass,The approximate mass of the system as defined by the authors and is intended to approximate the sum of the masses of all of the atoms in the system.  No attempt  is made to define the mass at a specific pH value$ in terms of the protonation  state of any pH titratable groups$ or according to the incorporation of isotopes.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,Molecular_mass,?
5270,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.Details,,O,,,,Y,H,H,H,H,H,N,,,,,,Details,TEXT,,,AssemblySubsystem,Details,N,N,,,,,,,,,N,1850,,,,,,0,?,Additional comments or details describing the contents of the citation are entered in this field.,Additional information relevant to the data in the current saveframe or to a specific data item is entered as a value to this tag.  The information entered must supplement information already present.  Whenever possible data should associated with specific data tags and not included in the value to a '_Details' tag.,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,Details,?
5280,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.DB_query_date,,O,,,,Y,H,H,H,H,H,N,,,,,,DB query date,DATETIME year to day,,,AssemblySubsystem,DBQueryDate,N,N,,,,,,,,,N,1860,,,,,,0,?,DB query date,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,DB_query_date,?
5290,assembly_subsystems,H,R,3,assembly_supercategory,70,Assembly subsystem,_Assembly_subsystem.DB_last_query_revised_last_date,,O,,,,Y,H,H,H,H,H,N,,,,,,DB last query revised last date,DATETIME year to day,,,AssemblySubsystem,DBLastQueryRevisedLastDate,N,N,,,,,,,,,N,1870,,,,,,0,?,DB last query revised last date,?,?,?,Y,Y,N,N,N,N,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Assembly_subsystem,DB_last_query_revised_last_date,?
5300,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem common name,_Subsystem_common_name.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SubsystemCommonName,SfID,N,Y,,Y,,Assembly_subsystem,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Assembly_subsystem.Sf_ID',?,?,Y,Y,N,N,N,N,_Assembly_subsystem.Sf_ID,?,_Assembly_subsystem.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Subsystem_common_name,Sf_ID,?
5310,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem common name,_Subsystem_common_name.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SubsystemCommonName,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Subsystem_common_name,Entry_ID,?
5320,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem common name,_Subsystem_common_name.Assembly_subsystem_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly subsystem ID,CHAR(12),NOT NULL,,SubsystemCommonName,AssemblySubsystemID,N,N,,,,Assembly_subsystem,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Assembly_subsystem.ID',?,?,Y,Y,N,N,N,Y,_Assembly_subsystem.ID,?,_Assembly_subsystem.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Subsystem_common_name,Assembly_subsystem_ID,Y
5330,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem common name,_Subsystem_common_name.Name,,O,,,,Y,H,H,H,H,H,N,,,,,,Name,VARCHAR(127),NOT NULL,,SubsystemCommonName,Name,N,N,,Y,,,,,,,Y,40,,,,,,0,?,Name,?,?,?,Y,Y,N,N,N,Y,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Subsystem_common_name,Name,Y
5340,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem type,_Subsystem_type.Sf_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,SubsystemType,SfID,N,Y,,Y,,Assembly_subsystem,Sf_ID,,,,Y,10,,,,,,1,?,n/a,Pointer to '_Assembly_subsystem.Sf_ID',?,?,Y,Y,N,N,N,N,_Assembly_subsystem.Sf_ID,?,_Assembly_subsystem.Sf_ID,I,I,I,I,I,I,I,I,I,I,I,I,?,0,Subsystem_type,Sf_ID,?
5350,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem type,_Subsystem_type.Entry_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Entry ID,CHAR(12),NOT NULL,,SubsystemType,EntryID,N,N,,,,Entry,ID,,,,Y,20,,,,,,1,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,N,_Entry.ID,?,_Entry.ID,O,O,R,R,R,R,R,R,R,R,R,R,?,0,Subsystem_type,Entry_ID,?
5360,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem type,_Subsystem_type.Assembly_subsystem_ID,,X,,,,Y,H,H,H,H,H,N,,,,,,Assembly subsystem ID,CHAR(12),NOT NULL,,SubsystemType,AssemblySubsystemID,N,N,,,,Assembly_subsystem,ID,,,,Y,30,,,,,,1,?,n/a,Pointer to '_Assembly_subsystem.ID',?,?,Y,Y,N,N,N,Y,_Assembly_subsystem.ID,?,_Assembly_subsystem.ID,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Subsystem_type,Assembly_subsystem_ID,Y
5370,assembly_subsystems,H,T6,3,assembly_supercategory,70,Subsystem type,_Subsystem_type.Type,,O,,,,Y,H,H,H,H,H,N,,,,,,Type,VARCHAR(127),NOT NULL,,SubsystemType,Type,N,N,,Y,,,,,,,Y,40,,,,,,0,?,Type,?,?,?,Y,Y,N,N,N,Y,?,?,?,O,O,O,O,O,O,O,O,O,O,O,O,?,0,Subsystem_type,Type,Y
