Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,Query prompt,Query interface,SG Mandatory,,ADIT exists,User full view,Metabolomics,Metabolites,SENCI,Fragment library,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfNamelFlg,Sf category flag,Sf pointer,Natural primary key,Natural foreign key,Redundant keys,Parent tag,public,internal,small molecule,small molecule,metabolomics,Entry completeness,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,NEF equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
,Mass_spectrometer_list,N,T6,4,experimental_details,145,Mass spectrometer descriptions,_Mass_spectrometer_view.Entry_ID,,,,,,Y,H,,S,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Mass_spectrometer_list,Entry_ID,,,,Y,140,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,V,V,,,,,V,V,,,,,?,0,Mass_spectrometer_view,Entry_ID,?,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,Mass_spectrometer_list,N,T6,4,experimental_details,145,Mass spectrometer descriptions,_Mass_spectrometer_view.Mass_spectrometer_list_ID,,,,,,Y,H,,S,,,N,,,,,,Mass spectrometer list ID,INTEGER,NOT NULL,,,,N,N,,Y,,Mass_spectrometer_list,ID,,,,Y,150,,,,,,5,?,n/a,Pointer to '_Mass_spectrometer_list.ID',?,?,Y,Y,N,N,N,,,,_Mass_spectrometer_list.ID,V,V,,,,,V,V,,,,,?,0,Mass_spectrometer_view,Mass_spectrometer_list_ID,Y,?,N,,Y,N,int,,,,,Pointer to '_Mass_spectrometer_list.ID',,N,,Y,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Sf_category,,,,,,Y,H,,S,,,N,,,,,,Sf category,VARCHAR(127),,,,,N,N,,,,,,,,,N,4460,,,,,,1,?,n/a,?,?,?,Y,Y,N,Y,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,Sf_category,?,?,N,,Y,N,code,,,,,Category assigned to the information in the save frame.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Sf_framecode,,,,,,Y,H,,S,,,N,,,,,,Sf framecode,VARCHAR(127),,,,,N,N,,,,,,,,,N,4470,,,,,,2,?,n/a,?,?,?,Y,Y,Y,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,Sf_framecode,?,?,N,,Y,N,framecode,,,,,A label that uniquely identifies the mass reference compound.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Entry_ID,,,,,,Y,H,,S,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,N,4480,,,,,,3,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,Entry_ID,?,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Sf_ID,,,,,,Y,H,,S,,,N,,,,,,Sf ID,INTEGER,,Y,,,N,Y,Y,,,,,,,,N,4490,,,,,,4,?,n/a,?,?,?,Y,Y,N,N,N,,,,,I,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,Sf_ID,?,?,N,,Y,N,int,,,,,An interger value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.ID,,,,,,Y,H,,S,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,N,4500,,,,,,5,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,ID,Y,?,N,,Y,N,int,,,,,A value that uniquely identifies the mass reference compound from other mass reference compounds listed in the entry.,,N,,Y,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Name,,,,,,Y,H,,S,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,N,4510,,,,,,0,?,Mass spectrometer reference compound set name,A name that uniquely identifies the list of mass spectrometer reference compounds from other similar lists in the entry.,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Mass_spec_ref_compd_set,Name,?,?,N,,Y,N,line,,,,,A name assigned to the save frame.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,R,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd_set.Details,,,,,,Y,H,,S,,,N,,,,,,Details,TEXT,,,,,N,N,,,,,,,,,N,4520,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd_set,Details,?,?,N,,Y,N,text,,,,,A text description of the mass reference compound.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.ID,,,,,,Y,H,,S,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,Y,10,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd,ID,?,?,N,,Y,N,int,,,,,Unique local identifier assigned to the mass reference compound.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.Name,,,,,,Y,H,,S,,,N,,,,,,Name,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd,Name,?,?,N,,Y,N,line,,,,,Name for the mass reference compound.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.Mono_isotopic_mass,,,,,,Y,H,,S,,,N,,,,,,Mono isotopic mass,FLOAT,,,,,N,N,,,,,,,,,Y,30,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Mass_spec_ref_compd,Mono_isotopic_mass,?,?,N,,Y,N,float,,,,,Mass of the compound calculated using the mass of the most abundant isotope for each atom in the compound.,,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.Sf_ID,,,,,,Y,H,,S,,,N,,,,,,Sf ID,INTEGER,,Y,,,N,Y,,,,Mass_spec_ref_compd_set,Sf_ID,,,,Y,40,,,,,,4,?,n/a,Pointer to '_Mass_spec_ref_compd_set.Sf_ID',?,?,Y,Y,N,N,N,,,,_Mass_spec_ref_compd_set.Sf_ID,I,I,,,,,I,I,,,,,?,0,Mass_spec_ref_compd,Sf_ID,?,?,N,,Y,N,int,,,,,Pointer to '_Mass_spec_ref_compd_set.Sf_ID',,N,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.Entry_ID,,,,,,Y,H,,S,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Mass_spec_ref_compd_set,Entry_ID,,,,Y,50,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd,Entry_ID,?,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,Mass_spec_ref_compd,N,T6,4,experimental_details,146,Mass spec reference compounds,_Mass_spec_ref_compd.Mass_spec_ref_compd_set_ID,,,,,,Y,H,,S,,,N,,,,,,Mass spec ref compd set ID,INTEGER,NOT NULL,,,,N,N,,Y,,Mass_spec_ref_compd_set,ID,,,,Y,60,,,,,,5,?,n/a,Pointer to '_Mass_spec_ref_compd_set.ID',?,?,Y,Y,N,N,N,,,,_Mass_spec_ref_compd_set.ID,O,O,,,,,O,O,,,,,?,0,Mass_spec_ref_compd,Mass_spec_ref_compd_set_ID,Y,?,N,,Y,N,int,,,,,Pointer to '_Mass_spec_ref_compd_set.ID',,N,,Y,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Sf_category,,,,,,Y,H,,M,,,N,,,,,,Sf category,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4530,,,,,,1,?,n/a,Category assigned to the information in the save frame.,?,?,Y,Y,N,Y,N,,,,,V,V,,,,,V,V,,,,,?,0,Chromatographic_system,Sf_category,?,?,N,,Y,N,code,,,,,Category assigned to the information in the save frame.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Sf_framecode,,,,,,Y,H,,M,,,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4540,,,,,,2,?,Chromatographic system label,A label that uniquely identifies the chromatographic system from other similar systems listed in the entry.,?,?,Y,Y,Y,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_system,Sf_framecode,?,?,N,,Y,N,framecode,,,,,A label that uniquely identifies the Mass spectrometer from other spectrometers listed in the entry.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Entry_ID,,,,,,Y,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,N,4550,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,V,V,,,,,V,V,,,,,?,0,Chromatographic_system,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Sf_ID,,,,,,Y,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,,,,,,N,4560,,,,,,4,?,n/a,An integer value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Chromatographic_system,Sf_ID,?,?,N,,Y,N,int,,,,,An interger value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.ID,,,,,,Y,H,,M,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,N,4570,,,,,,5,?,Mass spectrometer ID,A value that uniquely identifies the chromatographic system from similar systems listed in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_system,ID,Y,?,N,,Y,N,int,,,,,A value that uniquely identifies the Mass spectrometer from other spectrometers listed in the entry.,,N,,Y,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Name,,,,,,Y,H,,M,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,N,4580,,,,,,0,?,Chromatographic system name,A name that uniquely identifies the chromatographic system from other similar systems listed in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,0,Chromatographic_system,Name,?,?,N,,Y,N,line,,,,,A name assigned to the save frame.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Type,,,,,,Y,H,,M,,,N,,,,,,Type,VARCHAR(127),,,,,N,N,,,,,,,,,N,4590,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,0,Chromatographic_system,Type,?,?,N,,Y,N,line,,,,,The type of chromatographic system attached to the mass spectrometer used to separate a chemical mixture.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Pump_manufacturer,,,,,,Y,H,,M,,,N,,,,,,Pump manufacturer,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4600,,,,,,0,?,Manufacturer,Name of the company or other entity that built the chromatographic system.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_system,Pump_manufacturer,?,?,N,,Y,N,line,,,,,Name of the company or other entity that built the Mass spectrometer.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Pump_model,,,,,,Y,H,,M,,,N,,,,,,Pump model,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4610,,,,,,0,?,Model,The name or acronym used to describe the model of the chromatographic system.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_system,Pump_model,?,?,N,,Y,N,line,,,,,The name or acronym used to describe the model of the spectrometer.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Pump_serial_number,,,,,,Y,H,,M,,,N,,,,,,Pump serial number,VARCHAR(127),,,,,N,N,,,,,,,,,N,4620,,,,,,0,?,Serial number,Unique code assigned to a specific chromatographic system by the manufacturer.,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Pump_serial_number,?,?,N,,Y,N,line,,,,,Unique code assigned to a specific spectrometer by the manufacturer.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Autosampler_manufacturer,,,,,,Y,H,,M,,,N,,,,,,Autosampler manufacturer,VARCHAR(127),,,,,N,N,,,,,,,,,N,4630,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Autosampler_manufacturer,?,?,N,,Y,N,line,,,,,Name of the manufacturer of the autosampler.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Autosampler_model,,,,,,Y,H,,M,,,N,,,,,,Autosampler model,VARCHAR(127),,,,,N,N,,,,,,,,,N,4640,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Autosampler_model,?,?,N,,Y,N,line,,,,,Model of the listed autosampler.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Autosampler_serial_number,,,,,,Y,H,,M,,,N,,,,,,Autosampler serial number,VARCHAR(127),,,,,N,N,,,,,,,,,N,4650,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Autosampler_serial_number,?,?,N,,Y,N,line,,,,,Serial number of the listed autosampler.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Col_compartment_manufacturer,,,,,,Y,H,,M,,,N,,,,,,Col compartment manufacturer,VARCHAR(127),,,,,N,N,,,,,,,,,N,4660,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Col_compartment_manufacturer,?,?,N,,Y,N,line,,,,,Name of the manufacturer of the column compartment.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Col_compartment_model,,,,,,Y,H,,M,,,N,,,,,,Col compartment model,VARCHAR(127),,,,,N,N,,,,,,,,,N,4670,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Col_compartment_model,?,?,N,,Y,N,line,,,,,Model of the listed column compartment.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Col_compartment_serial_number,,,,,,Y,H,,M,,,N,,,,,,Col compartment serial number,VARCHAR(127),,,,,N,N,,,,,,,,,N,4680,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Col_compartment_serial_number,?,?,N,,Y,N,line,,,,,Serial number of the listed column compartment.,,N,,?,,,,,,,,?,?,?
,chromatographic_system,N,R,4,experimental_details,147,Chromatographic system,_Chromatographic_system.Details,,,,,,Y,H,,M,,,N,,,,,,Details,VARCHAR(127),,,,,N,N,,,,,,,,,N,4690,,,,,,0,?,n/a,?,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Chromatographic_system,Details,?,?,N,,Y,N,line,,,,,Text describing the chromatographic system.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Sf_category,,,,,,Y,H,,M,,,N,,,,,,Sf category,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4700,,,,,,1,?,n/a,Category assigned to the information in the save frame.,?,?,Y,Y,N,Y,N,,,,,V,V,,,,,V,V,,,,,?,0,Chromatographic_column,Sf_category,?,?,N,,Y,N,code,,,,,Category assigned to the information in the save frame.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Sf_framecode,,,,,,Y,H,,M,,,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4710,,,,,,2,?,Chromatographic column label,A label that uniquely identifies the chromatographic column from similar chromatographic columns listed in the entry.,?,?,Y,Y,Y,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_column,Sf_framecode,?,?,N,,Y,N,framecode,,,,,A label that uniquely identifies the Mass spectrometer from other spectrometers listed in the entry.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Entry_ID,,,,,,Y,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,N,4720,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,V,V,,,,,V,V,,,,,?,0,Chromatographic_column,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Sf_ID,,,,,,Y,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,,,,,,N,4730,,,,,,4,?,n/a,An integer value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Chromatographic_column,Sf_ID,?,?,N,,Y,N,int,,,,,An interger value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.ID,,,,,,Y,H,,M,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,N,4740,,,,,,5,?,Chromatographic column ID,A value that uniquely identifies the chromatographic column from other chromatographic columns listed in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Chromatographic_column,ID,Y,?,N,,Y,N,int,,,,,A value that uniquely identifies the Mass spectrometer from other spectrometers listed in the entry.,,N,,Y,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Name,,,,,,Y,H,,M,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,N,4750,,,,,,0,?,Chromatographic column name,A name that uniquely identifies the chromatographic column from similar chromatographic columns listed in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,0,Chromatographic_column,Name,?,?,N,,Y,N,line,,,,,A name assigned to the save frame.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Vendor,,,,,,Y,H,,M,,,N,,,,,,Vendor,VARCHAR(127),,,,,N,N,,,,,,,,,N,4760,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Vendor,?,?,N,,Y,N,line,,,,,Vendor from whom the chromatographic column was purchased.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Type,,,,,,Y,H,,M,,,N,,,,,,Type,VARCHAR(127),,,,,N,N,,,,,,,,,N,4770,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Type,?,?,N,,Y,N,line,,,,,The type of chromatographic column listed.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Packing_material,,,,,,Y,H,,M,,,N,,,,,,Packing material,VARCHAR(127),,,,,N,N,,,,,,,,,N,4780,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Packing_material,?,?,N,,Y,N,line,,,,,The kind of packing material used in the chromatographic column.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Packing_material_pore_size,,,,,,Y,H,,M,,,N,,,,,,Packing material pore size,FLOAT,,,,,N,N,,,,,,,,,N,4790,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Packing_material_pore_size,?,?,N,,Y,N,float,,,,,The pore size of the packing material used in the chromatographic column.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Width,,,,,,Y,H,,M,,,N,,,,,,Width,FLOAT,,,,,N,N,,,,,,,,,N,4800,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Width,?,?,N,,Y,N,float,,,,,The width of the chromatographic column listed.,,N,,?,,,,,,,,?,?,?
,chromatographic_column,N,R,4,experimental_details,148,Chromatographic column,_Chromatographic_column.Length,,,,,,Y,H,,M,,,N,,,,,,Length,FLOAT,,,,,N,N,,,,,,,,,N,4810,,,,,,0,?,n/a,?,?,?,Y,N,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Chromatographic_column,Length,?,?,N,,Y,N,float,,,,,The length of the chromatographic column listed.,,N,,?,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.Sf_category,,,,,,Y,H,,M,,,N,,,,,,Sf category,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4820,,,,,,1,?,n/a,?,?,?,Y,Y,N,Y,N,,,,,V,V,,,,,V,V,,,,,?,0,Fluorescence_instrument,Sf_category,?,?,N,,Y,N,code,,,,,Category assigned to the information in the save frame.,,N,,?,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.Sf_framecode,,,,,,Y,H,,M,,,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,4830,,,,,,2,?,n/a,?,?,?,Y,Y,Y,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Fluorescence_instrument,Sf_framecode,?,?,N,,Y,N,framecode,,,,,A label that uniquely identifies the fluorescence instrument from other Fluorescence instruments listed in the entry.,,N,,?,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.Entry_ID,,,,,,Y,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,N,4840,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,V,V,,,,,V,V,,,,,?,0,Fluorescence_instrument,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.Sf_ID,,,,,,Y,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,,,,,,N,4850,,,,,,4,?,n/a,?,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Fluorescence_instrument,Sf_ID,?,?,N,,Y,N,int,,,,,An interger value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,,?,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.ID,,,,,,Y,H,,M,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,N,4860,,,,,,5,?,n/a,?,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,1,Fluorescence_instrument,ID,Y,?,N,,Y,N,int,,,,,A value that uniquely identifies the Fluorescence instrument from other Fluorescence instruments listed in the entry.,,N,,Y,,,,,,,,?,?,?
,fluorescence_instrument,N,R,4,experimental_details,149,Fluorescence instrumentation,_Fluorescence_instrument.Name,,,,,,Y,H,,M,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,N,4870,,,,,,0,?,Florescence instrument name,A name that uniquely identifies the florescence instrument from similar instruments listed in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,0,Fluorescence_instrument,Name,?,?,N,,Y,N,line,,,,,A name assigned to the save frame.,,N,,?,,,,,,,,?,?,?
