Dictionary sequence,SFCategory,ADIT category mandatory,ADIT category view type,ADIT super category ID,ADIT super category,ADIT category group ID,ADIT category view name,Tag,BMRB current,Query prompt,Query interface,SG Mandatory,,ADIT exists,User full view,Metabolomics,Metabolites,SENCI,Fragment library,Item enumerated,Item enumeration closed,Enum parent SFcategory,Enum parent tag,Derived enumeration mantable,Derived enumeration,ADIT item view name,Data Type,Nullable,Non-public,ManDBTableName,ManDBColumnName,Row Index Key,Saveframe ID tag,Source Key,Table Primary Key,Foreign Key Group,Foreign Table,Foreign Column,Secondary index,Sub category,Units,Loopflag,Seq,Adit initial rows,Enumeration ties,Mandatory code overides,Overide value,Overide view value,ADIT auto insert,Example,Prompt,Interface,bmrbPdbMatchID,bmrbPdbTransFunc,STAR flag,DB flag,SfNamelFlg,Sf category flag,Sf pointer,Natural primary key,Natural foreign key,obsolete tag,Parent tag,public,internal,small molecule,small molecule,metabolomics,Entry completeness,Overide public,internal,small molecule,small molecule,metabolomic,metabolomic,default value,Adit form code,Tag category,Tag field,Local key,Datum count flag,NEF equivalent,mmCIF equivalent,Meta data,Tag delete,BMRB data type,STAR vs Curated DB,Key group,Reference table,Reference column,Dictionary description,variableTypeMatch,entryIdFlg,outputMapExistsFlg,lclSfIdFlg,Met ADIT category view name,Met Example,Met Prompt,Met Description,SM Struct ADIT-NMR category view name,SM Struct Example,SM Struct Prompt,SM Struct Description,Met default value,SM default value
2660,entry_information,Y,T6,1,entry_information,20,Related database entries,_Related_entries.Database_accession_code,,Database accession code,C,,,Y,N,,B,,,N,,,,,,Database accession code,VARCHAR(31),NOT NULL,,,,N,N,,Y,,,,,,,Y,20,2,,,,,0,4038; 1brv,Database accession code,Enter the entry code for the entry in the database selected in the previous field.,11033,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Related_entries,Database_accession_code,Y,?,Y,,Y,N,code,,,,,Entry code for an existing entry from the database defined by the tag '_Related_entry.Database_name' that is related to the current BMRB entry.,,N,,?,,,,,,,,?,?,?
2670,entry_information,Y,T6,1,entry_information,20,Related database entries,_Related_entries.Relationship,,Database relationship,C,,,Y,N,,B,,,N,,,,,,Relationship,VARCHAR(255),,,,,N,N,,,,,,,,,Y,30,2,,,,,0,Entry containing coupling constants for this molecular system.,Related entry description,Text describing the relationship between your deposition and the entry with the accession number you have entered or the title of the database entry.,11035,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Related_entries,Relationship,?,?,N,,Y,N,text,,,,,Text describing the relationship between the current BMRB entry and the entry with the corresponding BMRB accession number given as a value to the tag '_Related_BMRB_accession_number.',,N,,?,,,,,,,,?,?,?
2680,entry_information,Y,T6,1,entry_information,20,Related database entries,_Related_entries.Sf_ID,,,,,,Y,H,,B,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,Entry,Sf_ID,,,,Y,40,2,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,,,,_Entry.Sf_ID,I,I,,,,,I,I,,,,,?,0,Related_entries,Sf_ID,?,?,N,,Y,N,int,,,,,Pointer to '_Entry.Sf_ID',,N,,?,,,,,,,,?,?,?
2690,entry_information,Y,T6,1,entry_information,20,Related database entries,_Related_entries.Entry_ID,,,,,,Y,H,,B,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,Y,50,2,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,O,O,,,,,V,V,,,,,?,0,Related_entries,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,Y,,,,,,,,?,?,?
2700,entry_information,Y,T6,1,entry_information,20,Matched database entries,_Matched_entries.Database_name,,Database name,C,,,Y,H,,M,,,Y,N,,,,,Database name,VARCHAR(127),NOT NULL,,,,N,N,,Y,,,,,,,Y,10,,,,,,0,PDB,n/a,n/a,11530,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Matched_entries,Database_name,Y,?,N,,Y,N,line,,,,,Name or acronym for a database that has an entry that is a direct match (usually a PDB entry) to the current BMRB entry.,,N,,?,,,,,,,,?,?,?
2710,entry_information,Y,T6,1,entry_information,20,Matched database entries,_Matched_entries.Database_accession_code,,Database accession code,C,,,Y,H,,M,,,N,,,,,,Database accession code,VARCHAR(31),NOT NULL,,,,N,N,,Y,,,,,,,Y,20,,,,,,0,1BRV,n/a,n/a,11540,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Matched_entries,Database_accession_code,Y,?,N,,Y,N,code,,,,,Entry code for an existing entry from the database defined by the tag '_Matched_entries.Database_name' that is a direct match to the current BMRB entry.,,N,,?,,,,,,,,?,?,?
2720,entry_information,Y,T6,1,entry_information,20,Matched database entries,_Matched_entries.Sf_ID,,,,,,Y,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,Entry,Sf_ID,,,,Y,30,,,,,,0,3456,n/a,n/a,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Matched_entries,Sf_ID,?,?,N,,Y,N,int,,,,,Pointer to '_Entry.Sf_ID',,N,,?,,,,,,,,?,?,?
2730,entry_information,Y,T6,1,entry_information,20,Matched database entries,_Matched_entries.Entry_ID,,,,,,Y,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,Y,40,,,,,,0,16034,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,V,V,,,,,?,0,Matched_entries,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,Y,,,,,,,,?,?,?
2740,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.ID,,,,,,Y,H,,M,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,,Y,,,,,,,Y,10,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,ID,Y,?,N,,Y,N,int,,,,,The '_Auxiliary_files.ID' value uniquely identifies the row of information describing an auxilary file related to the entry.,,N,,?,,,,,,,,?,?,?
2750,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Name,,,,,,Y,H,,M,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,Name,?,?,N,,Y,N,line,,,,,Name of the file.,,N,,?,,,,,,,,?,?,?
2760,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Format,,,,,,Y,H,,M,,,N,,,,,,Format,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,Y,30,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,Format,?,?,N,,Y,N,line,,,,,The file format for the defined auxiliary file.,,N,,?,,,,,,,,?,?,?
2770,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.URI,,,,,,Y,H,,M,,,N,,,,,,URI,VARCHAR(255),NOT NULL,,,,N,N,,,,,,,,,Y,40,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,URI,?,?,N,,Y,N,line,,,,,A universal resource identifier value for the auxiliary file.,,N,,?,,,,,,,,?,?,?
2780,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.DOI,,,,,,Y,H,,M,,,N,,,,,,DOI,VARCHAR(255),,,,,N,N,,,,,,,,,Y,50,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,DOI,?,?,N,,Y,N,line,,,,,A digital object identifier for the defined auxiliary file for the entry.,,N,,?,,,,,,,,?,?,?
2790,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Path,,,,,,Y,H,,M,,,N,,,,,,Path,VARCHAR(255),,,,,N,N,,,,,,,,,Y,60,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,Path,?,?,N,,Y,Y,line,,,,,The path and file name for the auxiliary file locate at BMRB.,,N,,?,,,,,,,,?,?,?
2800,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Details,,,,,,Y,H,,M,,,N,,,,,,Details,TEXT,,,,,N,N,,,,,,,,,Y,70,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Auxiliary_files,Details,?,?,N,,Y,N,text,,,,,Text providing additional information about the auxiliary file.,,N,,?,,,,,,,,?,?,?
2810,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Sf_ID,,,,,,Y,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,Entry,Sf_ID,,,,Y,80,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Auxiliary_files,Sf_ID,?,?,N,,Y,N,int,,,,,Pointer to '_Entry.Sf_ID',,N,,?,,,,,,,,?,?,?
2820,entry_information,Y,T6,1,entry_information,20,Auxiliary files,_Auxiliary_files.Entry_ID,,,,,,Y,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,Y,90,,,,,,0,?,n/a,n/a,?,?,Y,Y,N,N,N,,,,,O,O,,,,,V,V,,,,,?,0,Auxiliary_files,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,Y,,,,,,,,?,?,?
2830,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Revision_ID,,,,,,N,H,,M,,,N,,,,,,Revision ID,INTEGER,NOT NULL,Y,,,N,N,,Y,,,,,,,Y,10,,,,,,0,?,n/a,n/a,1030,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Audit,Revision_ID,Y,?,N,,Y,N,int,,,,,The value of _audit.revision_ID must uniquely identify a record in the AUDIT list.,,N,,?,,,,,,,,?,?,?
2840,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Creation_date,,,,,,N,H,,M,,,N,,,,,,Creation date,DATETIME year to day,NOT NULL,Y,,,N,N,,,,,,,,,Y,20,,,,,,0,?,n/a,n/a,1028,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Audit,Creation_date,?,?,N,,Y,N,yyyy-mm-dd,,,,,A date that the data block was created. The date format is yyyy-mm-dd.,,N,,?,,,,,,,,?,?,?
2850,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Update_record,,,,,,N,H,,M,,,Y,Y,,,,,Update record,VARCHAR(127),NOT NULL,Y,,,N,N,,,,,,,,,Y,30,,,,,,0,?,n/a,n/a,11520,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Audit,Update_record,?,?,N,,Y,N,line,,,,,A record of any changes to the data block. The update format is a date (yyyy-mm-dd) followed by a description of the changes. The latest update entry is added to the bottom of this record.,,N,,?,,,,,,,,?,?,?
2860,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Creation_method,,,,,,N,H,,M,,,N,,,,,,Creation method,VARCHAR(127),,Y,,,N,N,,,,,,,,,Y,40,,,,,,0,?,n/a,n/a,1029,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Audit,Creation_method,?,?,N,,Y,N,line,,,,,A description of how data were entered into the data block.,,N,,?,,,,,,,,?,?,?
2870,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Sf_ID,,,,,,N,H,,M,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,,,,Entry,Sf_ID,,,,Y,50,,,,,,4,?,n/a,Pointer to '_Entry.Sf_ID',?,?,Y,Y,N,N,N,,,,_Entry.Sf_ID,I,I,,,,,I,I,,,,,?,0,Audit,Sf_ID,?,?,N,,Y,N,int,,,,,Pointer to '_Entry.Sf_ID',,N,,?,,,,,,,,?,?,?
2880,entry_information,Y,T6,1,entry_information,20,Audit,_Audit.Entry_ID,,,,,,N,H,,M,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,Y,,,N,N,,Y,,Entry,ID,,,,Y,60,,,,,,3,?,n/a,Pointer to '_Entry.ID',?,?,Y,Y,N,N,N,,,,_Entry.ID,O,O,,,,,V,V,,,,,?,0,Audit,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,Y,,,,,,,,?,?,?
2890,citations,Y,R,2,citations,40,Citation,_Citation.Sf_category,,,,,,Y,H,,B,,,N,,,,,,Sf category,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,1550,,,,,,1,?,n/a,Category assigned to the information in the save frame.,?,?,Y,Y,N,Y,N,,,,,V,V,,,,M,V,V,,,,,?,0,Citation,Sf_category,?,?,N,,Y,N,code,,,,,Category assigned to the information in the save frame.,,N,,?,,,,,,,,?,?,?
2900,citations,Y,R,2,citations,40,Citation,_Citation.Sf_framecode,,,,,,Y,H,,B,,,N,,,,,,Sf framecode,VARCHAR(127),NOT NULL,,,,N,N,,,,,,,,,N,1560,,,,,,2,citation 1,Citation label,A label that uniquely identifies the citation from other citations in the entry.,?,?,Y,Y,Y,N,N,,,,,V,V,,,,,I,I,,,,,entry_citation,1,Citation,Sf_framecode,?,?,N,,Y,N,framecode,,,,,A label that uniquely identifies the citation from other citations in the entry.,,N,,?,,,,,,,,?,?,?
2910,citations,Y,R,2,citations,40,Citation,_Citation.Entry_ID,,Entry ID,C,,,Y,H,,B,,,N,,,,,,Entry ID,CHAR(12),NOT NULL,,,,N,N,,Y,,Entry,ID,,,,N,1570,,,,,,3,citation,n/a,Pointer to '_Entry.ID',1271,3,Y,Y,N,N,N,,,,_Entry.ID,V,V,,,,,V,V,,,,,?,0,Citation,Entry_ID,Y,?,N,,Y,N,code,,,,,Pointer to '_Entry.ID',,Y,,?,,,,,,,,?,?,?
2920,citations,Y,R,2,citations,40,Citation,_Citation.Sf_ID,,,,,,Y,H,,B,,,N,,,,,,Sf ID,INTEGER,NOT NULL,Y,,,N,Y,Y,,,,,,,,N,1580,,,,,,4,?,n/a,An integer value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,?,?,Y,Y,N,N,N,,,,,I,I,,,,,I,I,,,,,?,0,Citation,Sf_ID,?,?,N,,Y,N,int,,,,,An interger value that is the unique identifier for the save frame that applies across the archive.  This value is not stable and may be reassigned each time the data are loaded into a database system.,,N,,?,,,,,,,,?,?,?
2930,citations,Y,R,2,citations,40,Citation,_Citation.ID,,,,,,Y,H,,B,,,N,,,,,,ID,INTEGER,NOT NULL,,,,N,N,Y,Y,,,,,,,N,1590,,,,,,5,?,n/a,An integer value that uniquely identifies the citation from all other citations provided in the entry.,7,3,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,?,0,Citation,ID,Y,?,N,,Y,N,int,,,,,A value that uniquely identifies the citation from all other citations provided in the entry.,,N,,Y,,,,,,,,?,?,?
2940,citations,Y,R,2,citations,40,Citation,_Citation.Name,,,,,,Y,H,,B,,,N,,,,,,Name,VARCHAR(127),,,,,N,N,,,,,,,,,N,1600,,,,,,0,citation 1,Citation name,A name that uniquely identifies the citation from all other citations in the entry.,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Citation,Name,?,?,N,,Y,N,line,,,,,A name assigned to the save frame.,,N,,?,,,,,,,,?,?,?
2950,citations,Y,R,2,citations,40,Citation,_Citation.Class,,Class (entry; reference),SFAV-P,,,Y,Y,,B,,,Y,Y,,,,,Class,VARCHAR(31),NOT NULL,,,,N,N,,,,,,,,,N,1610,,,,,,0,entry citation,Entry or reference citation,Keyword defining the citation as the key citation for the entry or a citation used as a referenece in the entry.,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,entry citation,1,Citation,Class,?,?,N,,Y,N,line,,,,,Keyword defining the citation as the key citation for the entry or a citation used as a referenece in the entry.,,N,,?,,,,,,,,?,?,?
2960,citations,Y,R,2,citations,40,Citation,_Citation.CAS_abstract_code,,,,,,Y,H,,B,,,N,,,,,,CAS abstract code,VARCHAR(31),,,,,N,N,,,,,,,,,N,1620,,,,,,0,?,n/a,Code from the Chemical Abstract Services assigned to this citation.,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Citation,CAS_abstract_code,?,?,N,,Y,N,code,,,,,Code from the Chemical Abstract Services assigned to this citation.,,N,,?,,,,,,,,?,?,?
2970,citations,Y,R,2,citations,40,Citation,_Citation.MEDLINE_UI_code,,,,,,Y,H,,B,,,N,,,,,,MEDLINE UI code,VARCHAR(31),,,,,N,N,,,,,,,,,N,1630,,,,,,0,?,n/a,MEDLINE uniform identification code assigned to the publication described in the save frame.,10012,3,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,0,Citation,MEDLINE_UI_code,?,?,N,,Y,N,code,,,,,MEDLINE uniform identification code assigned to the publication described in the save frame.,,N,,?,,,,,,,,?,?,?
2980,citations,Y,R,2,citations,40,Citation,_Citation.PubMed_ID,,,,,,Y,N,,B,,,N,,,,,,PubMed ID,CHAR(12),,,,,N,N,,,,,,,,,N,1640,,,,,,0,12815265,<a href='https://www.ncbi.nlm.nih.gov/pubmed' TARGET='_blank'>PubMed ID</a>,The identification code assigned to the publication by PubMed.,14080,1,Y,Y,N,N,N,,,,,M,M,,,,,M,M,,,,,?,1,Citation,PubMed_ID,?,?,N,,Y,N,code,,,,,The identification code assigned to the publication by PubMed.  If this code is available no other information regarding the publication needs to be entered in the deposition.,,N,,?,,,,,,,,?,?,?
2990,citations,Y,R,2,citations,40,Citation,_Citation.DOI,,,,,,Y,N,,B,,,N,,,,,,DOI,VARCHAR(127),,,,,N,N,,,,,,,,,N,1650,,,,,,0,10.1000/182,Digital object identifier for the citation,The digital object identifier assigned to the citation.,14090,1,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,1,Citation,DOI,?,?,N,,Y,N,line,,,,,The digital object identifier assigned to the citation.,,N,,?,,,,,,,,?,?,?
3000,citations,Y,R,2,citations,40,Citation,_Citation.Full_citation,,,,,,Y,H,,B,,,N,,,,,,Full citation,TEXT,,,,,N,N,,,,,,,,,N,1660,,,,,,0,?,Complete citation,Enter a full citation in a format similar to that used in a journal article by either cutting and pasting from another document or by typing. Please include author names$ title$ journal$ page numbers$ and year or equivalent information for the type of pub,?,?,Y,Y,N,N,N,,,,,O,O,,,,,O,O,,,,,?,2,Citation,Full_citation,?,?,N,,Y,N,text,,,,,Full publication citation including authors title journal page numbers year or equivalent information for the type of publication given.,,N,,?,,,,,,,,?,?,?
3010,citations,Y,R,2,citations,40,Citation,_Citation.Title,,Citation title,C,,,Y,Y,,B,,,N,,,,,,Title,TEXT,,,,,N,N,,,,,,,,,N,1670,,,,,,0,'1H and 15N Assigned Chemical Shifts for RNase A',Citation title,Title for the publication.,8,3,Y,Y,N,N,N,,,,,M,M,,,,,M,M,,,,,?,1,Citation,Title,?,?,N,,Y,N,text,,,,,Title for the publication.,,N,,?,,,,,,,,?,?,?
3020,citations,Y,R,2,citations,40,Citation,_Citation.Status,,,,,,Y,Y,,B,,,Y,Y,,,,,Status,VARCHAR(31),,,,,N,N,,,,,,,,,N,1680,,,,,,0,submitted,Citation status,Status for the current publication (in preparation submitted in press published).,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,in preparation,1,Citation,Status,?,?,N,,Y,N,line,,,,,Status for the current publication (in preparation submitted in press published),,N,,?,,,,,,,,?,?,?
3030,citations,Y,R,2,citations,40,Citation,_Citation.Type,,Type (journal; book; thesis),SFAV-P,,,Y,Y,,B,,,Y,Y,,,,,Type,VARCHAR(31),,,,,N,N,,,,,,,,,N,1690,,,,,,0,journal,Citation type,Descriptive word that defines the kind of publication reported (journal; book; thesis; etc.).,?,?,Y,Y,N,N,N,,,,,V,V,,,,,V,V,,,,,journal,1,Citation,Type,?,?,N,,Y,N,line,,,,,Descriptive word that defines the kind of publication reported (journal; book; thesis; etc.),,N,,?,,,,,,,,?,?,?
3040,citations,Y,R,2,citations,40,Citation,_Citation.Journal_abbrev,,Journal abbreviation,C,,,Y,H,,B,,,Y,N,,,,,Journal abbrev,VARCHAR(127),,,,,N,N,,,,,,,,,N,1700,,,,,,0,J. Biomol. NMR,Journal abbreviation,Enter a standard journal abbreviation as defined by the Chemical Abstract Services for the journal where the data are or will be published. A pull down list of common journals is provided. If the data in the deposition are related to a J. Biomol. NMR pape,9,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Journal_abbrev,?,?,N,,Y,N,line,,,,,Standard abbreviation for journals used by the Chemical Abstract Services.  Depositors are required to provide a value for this field.  If the data in the deposition are related to a JBNMR paper$ the value must be 'J. Biol. NMR' to alert the BMRB annotato,,N,,?,,,,,,,,?,?,?
3050,citations,Y,R,2,citations,40,Citation,_Citation.Journal_name_full,,,,,,Y,H,,B,,,N,,,,,,Journal name full,VARCHAR(127),,,,,N,N,,,,,,,,,N,1710,,,,,,0,Journal of Biomolecular NMR,Journal name full,Full name used by the journal.,1274,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,0,Citation,Journal_name_full,?,?,N,,Y,N,line,,,,,Full name used by the journal.,,N,,?,,,,,,,,?,?,?
3060,citations,Y,R,2,citations,40,Citation,_Citation.Journal_volume,,,,,,Y,H,,B,,,N,,,,,,Journal volume,VARCHAR(15),,,,,N,N,,,,,,,,,N,1720,,,,,,0,23,Journal volume,Volume designation used by the journal.,10,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Journal_volume,?,?,N,,Y,N,code,,,,,Volume designation used by the journal.,,N,,?,,,,,,,,?,?,?
3070,citations,Y,R,2,citations,40,Citation,_Citation.Journal_issue,,,,,,Y,H,,B,,,N,,,,,,Journal issue,VARCHAR(15),,,,,N,N,,,,,,,,,N,1730,,,,,,0,4,Journal issue,Issue designation used by the journal.,1272,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Journal_issue,?,?,N,,Y,N,line,,,,,Issue designation used by the journal.,,N,,?,,,,,,,,?,?,?
3080,citations,Y,R,2,citations,40,Citation,_Citation.Journal_ASTM,,,,,,Y,H,,B,,,N,,,,,,Journal ASTM,VARCHAR(127),,,,,N,N,,,,,,,,,N,1740,,,,,,0,?,Journal ASTM,ASTM identification code for the journal,14,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,0,Citation,Journal_ASTM,?,?,N,,Y,N,line,,,,,ASTM identification code for the journal.,,N,,?,,,,,,,,?,?,?
3090,citations,Y,R,2,citations,40,Citation,_Citation.Journal_ISSN,,,,,,Y,H,,B,,,N,,,,,,Journal ISSN,VARCHAR(127),,,,,N,N,,,,,,,,,N,1750,,,,,,0,?,Journal ISSN,ISSN identification code for the journal,15,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,0,Citation,Journal_ISSN,?,?,N,,Y,N,line,,,,,An International Standard Serial Number (ISSN) is a unique eight-digit number used to identify a print or electronic periodical publication.,,N,,?,,,,,,,,?,?,?
3100,citations,Y,R,2,citations,40,Citation,_Citation.Journal_CSD,,,,,,Y,H,,B,,,N,,,,,,Journal CSD,VARCHAR(127),,,,,N,N,,,,,,,,,N,1760,,,,,,0,?,Journal CSD,CSD identification code for the journal,16,1,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,0,Citation,Journal_CSD,?,?,N,,Y,N,line,,,,,CSD identification code for the journal.,,N,,?,,,,,,,,?,?,?
3110,citations,Y,R,2,citations,40,Citation,_Citation.Book_title,,,,,,Y,H,,B,,,N,,,,,,Book title,VARCHAR(255),,,,,N,N,,,,,,,,,N,1770,,,,,,0,NMR Studies of Calcium Binding Proteins,Book title,The name of the book where the citation is located.,10011,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Book_title,?,?,N,,Y,N,text,,,,,The name of the book where the citation is located.,,N,,?,,,,,,,,?,?,?
3120,citations,Y,R,2,citations,40,Citation,_Citation.Book_chapter_title,,,,,,Y,H,,B,,,N,,,,,,Book chapter title,VARCHAR(255),,,,,N,N,,,,,,,,,N,1780,,,,,,0,Calmodulin,Book chapter title,Title of the chapter from the book,10010,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,1,Citation,Book_chapter_title,?,?,N,,Y,N,text,,,,,Title of the chapter from the book,,N,,?,,,,,,,,?,?,?
3130,citations,Y,R,2,citations,40,Citation,_Citation.Book_volume,,,,,,Y,H,,B,,,N,,,,,,Book volume,VARCHAR(15),,,,,N,N,,,,,,,,,N,1790,,,,,,0,2,Book volume,Volume designation for the book.,10009,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,1,Citation,Book_volume,?,?,N,,Y,N,code,,,,,Volume designation for the book.,,N,,?,,,,,,,,?,?,?
3140,citations,Y,R,2,citations,40,Citation,_Citation.Book_series,,,,,,Y,H,,B,,,N,,,,,,Book series,VARCHAR(15),,,,,N,N,,,,,,,,,N,1800,,,,,,0,12,Book series number,Series designation for the book,10008,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,1,Citation,Book_series,?,?,N,,Y,N,code,,,,,Series designation for the book,,N,,?,,,,,,,,?,?,?
3150,citations,Y,R,2,citations,40,Citation,_Citation.Book_publisher,,,,,,Y,H,,B,,,N,,,,,,Book publisher,VARCHAR(127),,,,,N,N,,,,,,,,,N,1810,,,,,,0,Wiley & Sons,Book publisher,Publisher of the book,17,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Book_publisher,?,?,N,,Y,N,line,,,,,Publisher of the book,,N,,?,,,,,,,,?,?,?
3160,citations,Y,R,2,citations,40,Citation,_Citation.Book_publisher_city,,,,,,Y,H,,B,,,N,,,,,,Book publisher city,VARCHAR(127),,,,,N,N,,,,,,,,,N,1820,,,,,,0,New York,City of book publisher,City where the book publisher is located,10006,3,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Book_publisher_city,?,?,N,,Y,N,line,,,,,City where the book publisher is located,,N,,?,,,,,,,,?,?,?
3170,citations,Y,R,2,citations,40,Citation,_Citation.Book_ISBN,,,,,,Y,H,,B,,,N,,,,,,Book ISBN,VARCHAR(127),,,,,N,N,,,,,,,,,N,1830,,,,,,0,?,Book ISBN,ISBN code assigned to the book.,10007,3,Y,Y,N,N,N,,,,,O,O,,,,,O,M,,,,,?,0,Citation,Book_ISBN,?,?,N,,Y,N,line,,,,,ISBN code assigned to the book.,,N,,?,,,,,,,,?,?,?
3180,citations,Y,R,2,citations,40,Citation,_Citation.Conference_title,,,,,,Y,H,,B,,,N,,,,,,Conference title,VARCHAR(127),,,,,N,N,,,,,,,,,N,1840,,,,,,0,Frontiers in NMR VI,Conference title,Title of the conference,?,?,Y,Y,N,N,N,,,,,O,O,,,,,M,M,,,,,?,1,Citation,Conference_title,?,?,N,,Y,N,line,,,,,Title of the conference,,N,,?,,,,,,,,?,?,?
